pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
0,0,0,0,164,295,0,1,0,0,1,1,10,0,0,22,80,0,0,0,0,2,0,0,32,110,156,270,44,7,0,0,12,0,36,86,178,0,496,173,99,25,4,0,0,75,0,182,631,430,45,36,6,5,1,0,92,4,44,290,207,63,66,4,40,0,0,0,1,106,146,222,7,0,28,0,1,0,2,3,201,77,134,0,0,2,20,0,2,0,2,213,536,740,143,0,0,0,0,0,0,42,508,618,600,330,4,0,0,1,1,4,181,356,75,333,160,2,0,1,0,2,10,67,105,0,105,200,0,0,1,4,0,0,2,35,0,25,151,0,0,0,0,0,0,11,9,0,0,28,2,0,0,2,0,0,3,18,1,0,0,0,1,0,1,1,1,203,64,1,0,104,21,3,0,0,2,1,342,0,0,0,176,16,0,0,0,0,2,253,0,1,3,294,1,2,0,0,2,9,14,1,0,2,1,34,2,3,0,0,39,237,4,5,1,259,77,0,4,0,1
0,0,0,0,164,295,0,1,0,0,1,1,10,0,0,22,80,0,0,0,0,2,0,0,32,110,156,270,44,7,0,0,12,0,36,86,178,0,496,173,99,25,4,0,0,75,0,182,631,430,45,36,6,5,1,0,92,4,44,290,207,63,66,4,40,0,0,0,1,106,146,222,7,0,28,0,1,0,2,3,201,77,134,0,0,2,20,0,2,0,2,213,536,740,143,0,0,0,0,0,0,42,508,618,600,330,4,0,0,1,1,4,181,356,75,333,160,2,0,1,0,2,10,67,105,0,105,200,0,0,1,4,0,0,2,35,0,25,151,0,0,0,0,0,0,11,9,0,0,28,2,0,0,2,0,0,3,18,1,0,0,0,1,0,1,1,1,203,64,1,0,104,21,3,0,0,2,1,342,0,0,0,176,16,0,0,0,0,2,253,0,1,3,294,1,2,0,0,2,9,14,1,0,2,1,34,2,3,0,0,39,237,4,5,1,259,77,0,4,0,1
0,0,0,0,164,295,0,1,0,0,1,1,10,0,0,22,80,0,0,0,0,2,0,0,32,110,156,270,44,7,0,0,12,0,36,86,178,0,496,173,99,25,4,0,0,75,0,182,631,430,45,36,6,5,1,0,92,4,44,290,207,63,66,4,40,0,0,0,1,106,146,222,7,0,28,0,1,0,2,3,201,77,134,0,0,2,20,0,2,0,2,213,536,740,143,0,0,0,0,0,0,42,508,618,600,330,4,0,0,1,1,4,181,356,75,333,160,2,0,1,0,2,10,67,105,0,105,200,0,0,1,4,0,0,2,35,0,25,151,0,0,0,0,0,0,11,9,0,0,28,2,0,0,2,0,0,3,18,1,0,0,0,1,0,1,1,1,203,64,1,0,104,21,3,0,0,2,1,342,0,0,0,176,16,0,0,0,0,2,253,0,1,3,294,1,2,0,0,2,9,14,1,0,2,1,34,2,3,0,0,39,237,4,5,1,259,77,0,4,0,1
0,0,0,0,164,295,0,1,0,0,1,1,10,0,0,22,80,0,0,0,0,2,0,0,32,110,156,270,44,7,0,0,12,0,36,86,178,0,496,173,99,25,4,0,0,75,0,182,631,430,45,36,6,5,1,0,92,4,44,290,207,63,66,4,40,0,0,0,1,106,146,222,7,0,28,0,1,0,2,3,201,77,134,0,0,2,20,0,2,0,2,213,536,740,143,0,0,0,0,0,0,42,508,618,600,330,4,0,0,1,1,4,181,356,75,333,160,2,0,1,0,2,10,67,105,0,105,200,0,0,1,4,0,0,2,35,0,25,151,0,0,0,0,0,0,11,9,0,0,28,2,0,0,2,0,0,3,18,1,0,0,0,1,0,1,1,1,203,64,1,0,104,21,3,0,0,2,1,342,0,0,0,176,16,0,0,0,0,2,253,0,1,3,294,1,2,0,0,2,9,14,1,0,2,1,34,2,3,0,0,39,237,4,5,1,259,77,0,4,0,1
0,0,0,0,156,301,0,1,4,0,0,4,7,0,0,13,84,0,0,0,0,0,3,0,36,113,166,269,45,16,0,0,9,3,34,89,183,0,502,190,108,21,1,0,0,93,0,186,634,424,48,37,8,4,2,1,87,2,45,284,212,59,70,8,45,1,0,0,4,104,147,224,11,2,33,0,0,0,0,0,202,86,136,1,0,0,23,0,4,2,0,207,535,741,147,0,1,0,0,0,0,40,510,616,599,328,0,0,0,0,0,10,184,342,84,341,164,0,2,2,0,0,9,73,95,1,106,201,0,0,0,0,2,0,7,39,0,30,151,3,0,0,0,2,0,18,8,1,0,28,0,0,0,1,2,1,4,10,1,0,0,2,0,0,2,0,0,202,59,0,2,98,25,0,0,0,4,5,352,0,0,0,164,24,0,0,0,0,0,253,3,0,11,293,3,0,1,0,0,5,10,0,0,0,2,35,0,0,2,0,38,237,0,0,0,252,74,0,0,0,1
0,0,0,0,156,301,0,1,4,0,0,4,7,0,0,13,84,0,0,0,0,0,3,0,36,113,166,269,45,16,0,0,9,3,34,89,183,0,502,190,108,21,1,0,0,93,0,186,634,424,48,37,8,4,2,1,87,2,45,284,212,59,70,8,45,1,0,0,4,104,147,224,11,2,33,0,0,0,0,0,202,86,136,1,0,0,23,0,4,2,0,207,535,741,147,0,1,0,0,0,0,40,510,616,599,328,0,0,0,0,0,10,184,342,84,341,164,0,2,2,0,0,9,73,95,1,106,201,0,0,0,0,2,0,7,39,0,30,151,3,0,0,0,2,0,18,8,1,0,28,0,0,0,1,2,1,4,10,1,0,0,2,0,0,2,0,0,202,59,0,2,98,25,0,0,0,4,5,352,0,0,0,164,24,0,0,0,0,0,253,3,0,11,293,3,0,1,0,0,5,10,0,0,0,2,35,0,0,2,0,38,237,0,0,0,252,74,0,0,0,1
0,0,0,0,156,301,0,1,4,0,0,4,7,0,0,13,84,0,0,0,0,0,3,0,36,113,166,269,45,16,0,0,9,3,34,89,183,0,502,190,108,21,1,0,0,93,0,186,634,424,48,37,8,4,2,1,87,2,45,284,212,59,70,8,45,1,0,0,4,104,147,224,11,2,33,0,0,0,0,0,202,86,136,1,0,0,23,0,4,2,0,207,535,741,147,0,1,0,0,0,0,40,510,616,599,328,0,0,0,0,0,10,184,342,84,341,164,0,2,2,0,0,9,73,95,1,106,201,0,0,0,0,2,0,7,39,0,30,151,3,0,0,0,2,0,18,8,1,0,28,0,0,0,1,2,1,4,10,1,0,0,2,0,0,2,0,0,202,59,0,2,98,25,0,0,0,4,5,352,0,0,0,164,24,0,0,0,0,0,253,3,0,11,293,3,0,1,0,0,5,10,0,0,0,2,35,0,0,2,0,38,237,0,0,0,252,74,0,0,0,1
0,0,0,0,156,301,0,1,4,0,0,4,7,0,0,13,84,0,0,0,0,0,3,0,36,113,166,269,45,16,0,0,9,3,34,89,183,0,502,190,108,21,1,0,0,93,0,186,634,424,48,37,8,4,2,1,87,2,45,284,212,59,70,8,45,1,0,0,4,104,147,224,11,2,33,0,0,0,0,0,202,86,136,1,0,0,23,0,4,2,0,207,535,741,147,0,1,0,0,0,0,40,510,616,599,328,0,0,0,0,0,10,184,342,84,341,164,0,2,2,0,0,9,73,95,1,106,201,0,0,0,0,2,0,7,39,0,30,151,3,0,0,0,2,0,18,8,1,0,28,0,0,0,1,2,1,4,10,1,0,0,2,0,0,2,0,0,202,59,0,2,98,25,0,0,0,4,5,352,0,0,0,164,24,0,0,0,0,0,253,3,0,11,293,3,0,1,0,0,5,10,0,0,0,2,35,0,0,2,0,38,237,0,0,0,252,74,0,0,0,1
0,0,0,0,156,301,0,1,4,0,0,4,7,0,0,13,84,0,0,0,0,0,3,0,36,113,166,269,45,16,0,0,9,3,34,89,183,0,502,190,108,21,1,0,0,93,0,186,634,424,48,37,8,4,2,1,87,2,45,284,212,59,70,8,45,1,0,0,4,104,147,224,11,2,33,0,0,0,0,0,202,86,136,1,0,0,23,0,4,2,0,207,535,741,147,0,1,0,0,0,0,40,510,616,599,328,0,0,0,0,0,10,184,342,84,341,164,0,2,2,0,0,9,73,95,1,106,201,0,0,0,0,2,0,7,39,0,30,151,3,0,0,0,2,0,18,8,1,0,28,0,0,0,1,2,1,4,10,1,0,0,2,0,0,2,0,0,202,59,0,2,98,25,0,0,0,4,5,352,0,0,0,164,24,0,0,0,0,0,253,3,0,11,293,3,0,1,0,0,5,10,0,0,0,2,35,0,0,2,0,38,237,0,0,0,252,74,0,0,0,1
0,0,0,0,156,301,0,1,4,0,0,4,7,0,0,13,84,0,0,0,0,0,3,0,36,113,166,269,45,16,0,0,9,3,34,89,183,0,502,190,108,21,1,0,0,93,0,186,634,424,48,37,8,4,2,1,87,2,45,284,212,59,70,8,45,1,0,0,4,104,147,224,11,2,33,0,0,0,0,0,202,86,136,1,0,0,23,0,4,2,0,207,535,741,147,0,1,0,0,0,0,40,510,616,599,328,0,0,0,0,0,10,184,342,84,341,164,0,2,2,0,0,9,73,95,1,106,201,0,0,0,0,2,0,7,39,0,30,151,3,0,0,0,2,0,18,8,1,0,28,0,0,0,1,2,1,4,10,1,0,0,2,0,0,2,0,0,202,59,0,2,98,25,0,0,0,4,5,352,0,0,0,164,24,0,0,0,0,0,253,3,0,11,293,3,0,1,0,0,5,10,0,0,0,2,35,0,0,2,0,38,237,0,0,0,252,74,0,0,0,1
