pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
0,0,0,1,0,37,145,0,0,1,1,1,32,0,1,0,199,254,0,2,0,2,0,4,0,0,1,89,29,1,0,0,0,0,3,0,0,0,109,135,21,0,0,0,0,0,2,73,345,123,224,47,0,0,0,2,0,16,25,302,456,538,308,2,1,3,0,0,18,42,65,314,140,27,0,24,0,0,0,16,27,7,153,102,0,0,270,0,0,0,1,0,10,214,147,69,0,0,6,0,4,0,0,143,433,606,241,2,0,1,0,29,2,12,189,526,549,448,12,15,0,0,78,0,1,454,240,280,388,4,1,21,0,3,1,0,4,87,86,50,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,15,4,1,0,0,27,0,0,1,0,0,0,0,36,3,0,97,1,0,0,0,0,0,2,16,0,18,7,2,2,1,0,0,0,2,82,2,15,58,0,2,0,2,1,0,15,219,1,155,266,2,0,0,1
0,0,0,1,0,37,145,0,0,1,1,1,32,0,1,0,199,254,0,2,0,2,0,4,0,0,1,89,29,1,0,0,0,0,3,0,0,0,109,135,21,0,0,0,0,0,2,73,345,123,224,47,0,0,0,2,0,16,25,302,456,538,308,2,1,3,0,0,18,42,65,314,140,27,0,24,0,0,0,16,27,7,153,102,0,0,270,0,0,0,1,0,10,214,147,69,0,0,6,0,4,0,0,143,433,606,241,2,0,1,0,29,2,12,189,526,549,448,12,15,0,0,78,0,1,454,240,280,388,4,1,21,0,3,1,0,4,87,86,50,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,15,4,1,0,0,27,0,0,1,0,0,0,0,36,3,0,97,1,0,0,0,0,0,2,16,0,18,7,2,2,1,0,0,0,2,82,2,15,58,0,2,0,2,1,0,15,219,1,155,266,2,0,0,1
0,0,0,1,0,37,145,0,0,1,1,1,32,0,1,0,199,254,0,2,0,2,0,4,0,0,1,89,29,1,0,0,0,0,3,0,0,0,109,135,21,0,0,0,0,0,2,73,345,123,224,47,0,0,0,2,0,16,25,302,456,538,308,2,1,3,0,0,18,42,65,314,140,27,0,24,0,0,0,16,27,7,153,102,0,0,270,0,0,0,1,0,10,214,147,69,0,0,6,0,4,0,0,143,433,606,241,2,0,1,0,29,2,12,189,526,549,448,12,15,0,0,78,0,1,454,240,280,388,4,1,21,0,3,1,0,4,87,86,50,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,15,4,1,0,0,27,0,0,1,0,0,0,0,36,3,0,97,1,0,0,0,0,0,2,16,0,18,7,2,2,1,0,0,0,2,82,2,15,58,0,2,0,2,1,0,15,219,1,155,266,2,0,0,1
0,0,0,1,0,37,145,0,0,1,1,1,32,0,1,0,199,254,0,2,0,2,0,4,0,0,1,89,29,1,0,0,0,0,3,0,0,0,109,135,21,0,0,0,0,0,2,73,345,123,224,47,0,0,0,2,0,16,25,302,456,538,308,2,1,3,0,0,18,42,65,314,140,27,0,24,0,0,0,16,27,7,153,102,0,0,270,0,0,0,1,0,10,214,147,69,0,0,6,0,4,0,0,143,433,606,241,2,0,1,0,29,2,12,189,526,549,448,12,15,0,0,78,0,1,454,240,280,388,4,1,21,0,3,1,0,4,87,86,50,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,15,4,1,0,0,27,0,0,1,0,0,0,0,36,3,0,97,1,0,0,0,0,0,2,16,0,18,7,2,2,1,0,0,0,2,82,2,15,58,0,2,0,2,1,0,15,219,1,155,266,2,0,0,1
0,0,0,1,0,37,145,0,0,1,1,1,32,0,1,0,199,254,0,2,0,2,0,4,0,0,1,89,29,1,0,0,0,0,3,0,0,0,109,135,21,0,0,0,0,0,2,73,345,123,224,47,0,0,0,2,0,16,25,302,456,538,308,2,1,3,0,0,18,42,65,314,140,27,0,24,0,0,0,16,27,7,153,102,0,0,270,0,0,0,1,0,10,214,147,69,0,0,6,0,4,0,0,143,433,606,241,2,0,1,0,29,2,12,189,526,549,448,12,15,0,0,78,0,1,454,240,280,388,4,1,21,0,3,1,0,4,87,86,50,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,15,4,1,0,0,27,0,0,1,0,0,0,0,36,3,0,97,1,0,0,0,0,0,2,16,0,18,7,2,2,1,0,0,0,2,82,2,15,58,0,2,0,2,1,0,15,219,1,155,266,2,0,0,1
0,1,1,1,0,53,150,0,0,0,0,0,34,0,0,3,200,269,0,3,3,0,0,2,0,2,0,90,18,1,0,0,0,1,0,2,0,1,78,131,23,0,1,0,0,0,1,69,341,131,221,57,1,1,0,0,0,18,28,333,465,548,308,0,0,6,0,0,16,31,61,329,170,31,1,37,0,1,0,27,30,3,160,128,61,0,272,0,0,0,0,2,34,230,163,91,0,1,8,0,0,2,0,150,453,628,267,0,16,3,0,32,3,13,202,533,553,448,6,16,0,2,87,1,1,456,243,288,394,0,0,0,0,1,0,0,3,87,95,51,0,0,0,0,2,0,0,1,0,2,0,0,1,4,2,1,2,0,0,0,2,0,0,0,0,0,0,17,4,0,0,1,27,0,3,1,1,0,0,0,30,0,0,100,6,0,0,0,0,0,0,14,0,172,19,2,0,0,0,0,0,0,92,0,10,54,1,0,0,0,0,0,15,205,1,162,266,0,0,0,1
0,1,1,1,0,53,150,0,0,0,0,0,34,0,0,3,200,269,0,3,3,0,0,2,0,2,0,90,18,1,0,0,0,1,0,2,0,1,78,131,23,0,1,0,0,0,1,69,341,131,221,57,1,1,0,0,0,18,28,333,465,548,308,0,0,6,0,0,16,31,61,329,170,31,1,37,0,1,0,27,30,3,160,128,61,0,272,0,0,0,0,2,34,230,163,91,0,1,8,0,0,2,0,150,453,628,267,0,16,3,0,32,3,13,202,533,553,448,6,16,0,2,87,1,1,456,243,288,394,0,0,0,0,1,0,0,3,87,95,51,0,0,0,0,2,0,0,1,0,2,0,0,1,4,2,1,2,0,0,0,2,0,0,0,0,0,0,17,4,0,0,1,27,0,3,1,1,0,0,0,30,0,0,100,6,0,0,0,0,0,0,14,0,172,19,2,0,0,0,0,0,0,92,0,10,54,1,0,0,0,0,0,15,205,1,162,266,0,0,0,1
0,1,1,1,0,53,150,0,0,0,0,0,34,0,0,3,200,269,0,3,3,0,0,2,0,2,0,90,18,1,0,0,0,1,0,2,0,1,78,131,23,0,1,0,0,0,1,69,341,131,221,57,1,1,0,0,0,18,28,333,465,548,308,0,0,6,0,0,16,31,61,329,170,31,1,37,0,1,0,27,30,3,160,128,61,0,272,0,0,0,0,2,34,230,163,91,0,1,8,0,0,2,0,150,453,628,267,0,16,3,0,32,3,13,202,533,553,448,6,16,0,2,87,1,1,456,243,288,394,0,0,0,0,1,0,0,3,87,95,51,0,0,0,0,2,0,0,1,0,2,0,0,1,4,2,1,2,0,0,0,2,0,0,0,0,0,0,17,4,0,0,1,27,0,3,1,1,0,0,0,30,0,0,100,6,0,0,0,0,0,0,14,0,172,19,2,0,0,0,0,0,0,92,0,10,54,1,0,0,0,0,0,15,205,1,162,266,0,0,0,1
0,1,1,1,0,53,150,0,0,0,0,0,34,0,0,3,200,269,0,3,3,0,0,2,0,2,0,90,18,1,0,0,0,1,0,2,0,1,78,131,23,0,1,0,0,0,1,69,341,131,221,57,1,1,0,0,0,18,28,333,465,548,308,0,0,6,0,0,16,31,61,329,170,31,1,37,0,1,0,27,30,3,160,128,61,0,272,0,0,0,0,2,34,230,163,91,0,1,8,0,0,2,0,150,453,628,267,0,16,3,0,32,3,13,202,533,553,448,6,16,0,2,87,1,1,456,243,288,394,0,0,0,0,1,0,0,3,87,95,51,0,0,0,0,2,0,0,1,0,2,0,0,1,4,2,1,2,0,0,0,2,0,0,0,0,0,0,17,4,0,0,1,27,0,3,1,1,0,0,0,30,0,0,100,6,0,0,0,0,0,0,14,0,172,19,2,0,0,0,0,0,0,92,0,10,54,1,0,0,0,0,0,15,205,1,162,266,0,0,0,1
0,1,1,1,0,53,150,0,0,0,0,0,34,0,0,3,200,269,0,3,3,0,0,2,0,2,0,90,18,1,0,0,0,1,0,2,0,1,78,131,23,0,1,0,0,0,1,69,341,131,221,57,1,1,0,0,0,18,28,333,465,548,308,0,0,6,0,0,16,31,61,329,170,31,1,37,0,1,0,27,30,3,160,128,61,0,272,0,0,0,0,2,34,230,163,91,0,1,8,0,0,2,0,150,453,628,267,0,16,3,0,32,3,13,202,533,553,448,6,16,0,2,87,1,1,456,243,288,394,0,0,0,0,1,0,0,3,87,95,51,0,0,0,0,2,0,0,1,0,2,0,0,1,4,2,1,2,0,0,0,2,0,0,0,0,0,0,17,4,0,0,1,27,0,3,1,1,0,0,0,30,0,0,100,6,0,0,0,0,0,0,14,0,172,19,2,0,0,0,0,0,0,92,0,10,54,1,0,0,0,0,0,15,205,1,162,266,0,0,0,1
0,1,1,1,0,53,150,0,0,0,0,0,34,0,0,3,200,269,0,3,3,0,0,2,0,2,0,90,18,1,0,0,0,1,0,2,0,1,78,131,23,0,1,0,0,0,1,69,341,131,221,57,1,1,0,0,0,18,28,333,465,548,308,0,0,6,0,0,16,31,61,329,170,31,1,37,0,1,0,27,30,3,160,128,61,0,272,0,0,0,0,2,34,230,163,91,0,1,8,0,0,2,0,150,453,628,267,0,16,3,0,32,3,13,202,533,553,448,6,16,0,2,87,1,1,456,243,288,394,0,0,0,0,1,0,0,3,87,95,51,0,0,0,0,2,0,0,1,0,2,0,0,1,4,2,1,2,0,0,0,2,0,0,0,0,0,0,17,4,0,0,1,27,0,3,1,1,0,0,0,30,0,0,100,6,0,0,0,0,0,0,14,0,172,19,2,0,0,0,0,0,0,92,0,10,54,1,0,0,0,0,0,15,205,1,162,266,0,0,0,1
