pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
0,0,0,0,0,62,96,0,0,0,4,0,10,5,0,18,151,0,0,0,0,0,2,0,18,133,253,375,87,183,3,2,12,3,0,2,98,1,552,88,85,53,1,1,2,0,1,12,555,399,38,1,5,0,0,0,0,0,19,205,157,57,1,0,0,8,1,0,0,16,103,143,11,0,0,0,1,0,0,0,156,65,129,0,5,0,19,0,0,3,0,199,521,817,146,3,0,0,0,1,0,5,451,502,550,274,1,0,3,0,0,7,1,226,98,253,174,0,0,4,1,0,26,32,49,0,36,182,3,0,0,2,1,0,1,12,2,11,161,0,0,2,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,2,2,0,1,0,0,1,1,6,157,38,0,4,55,19,0,0,0,1,1,322,0,0,0,145,6,0,1,0,0,6,234,0,6,0,268,0,1,0,0,0,1,22,2,0,0,0,32,0,0,0,2,79,50,0,0,4,230,58,0,0,0,0
0,0,0,0,0,62,96,0,0,0,4,0,10,5,0,18,151,0,0,0,0,0,2,0,18,133,253,375,87,183,3,2,12,3,0,2,98,1,552,88,85,53,1,1,2,0,1,12,555,399,38,1,5,0,0,0,0,0,19,205,157,57,1,0,0,8,1,0,0,16,103,143,11,0,0,0,1,0,0,0,156,65,129,0,5,0,19,0,0,3,0,199,521,817,146,3,0,0,0,1,0,5,451,502,550,274,1,0,3,0,0,7,1,226,98,253,174,0,0,4,1,0,26,32,49,0,36,182,3,0,0,2,1,0,1,12,2,11,161,0,0,2,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,2,2,0,1,0,0,1,1,6,157,38,0,4,55,19,0,0,0,1,1,322,0,0,0,145,6,0,1,0,0,6,234,0,6,0,268,0,1,0,0,0,1,22,2,0,0,0,32,0,0,0,2,79,50,0,0,4,230,58,0,0,0,0
0,0,0,0,0,62,96,0,0,0,4,0,10,5,0,18,151,0,0,0,0,0,2,0,18,133,253,375,87,183,3,2,12,3,0,2,98,1,552,88,85,53,1,1,2,0,1,12,555,399,38,1,5,0,0,0,0,0,19,205,157,57,1,0,0,8,1,0,0,16,103,143,11,0,0,0,1,0,0,0,156,65,129,0,5,0,19,0,0,3,0,199,521,817,146,3,0,0,0,1,0,5,451,502,550,274,1,0,3,0,0,7,1,226,98,253,174,0,0,4,1,0,26,32,49,0,36,182,3,0,0,2,1,0,1,12,2,11,161,0,0,2,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,0,2,2,0,1,0,0,1,1,6,157,38,0,4,55,19,0,0,0,1,1,322,0,0,0,145,6,0,1,0,0,6,234,0,6,0,268,0,1,0,0,0,1,22,2,0,0,0,32,0,0,0,2,79,50,0,0,4,230,58,0,0,0,0
1,0,0,0,155,258,2,1,4,0,0,0,1,0,0,26,90,0,0,0,0,0,0,0,1,35,176,338,178,166,0,0,8,0,8,56,95,0,651,367,36,0,1,0,0,48,0,178,677,432,46,0,2,0,0,0,0,0,30,349,229,43,0,0,0,3,1,1,0,47,114,193,1,0,1,0,6,2,0,0,167,63,131,0,0,0,20,0,1,0,0,196,440,696,136,3,0,0,3,1,0,7,476,518,532,269,0,1,0,1,0,4,87,305,101,259,159,1,0,0,0,0,37,36,107,0,63,157,0,0,1,0,0,0,6,18,0,16,133,0,0,0,0,0,0,0,6,0,1,7,0,0,0,0,0,0,14,0,0,0,0,1,0,2,1,3,13,174,40,0,4,105,25,2,0,0,2,0,323,0,2,0,151,12,0,0,2,1,112,208,0,0,0,258,0,0,0,0,0,3,22,0,0,0,0,18,0,0,0,1,84,132,2,0,0,194,65,2,3,0,0
1,0,0,0,155,258,2,1,4,0,0,0,1,0,0,26,90,0,0,0,0,0,0,0,1,35,176,338,178,166,0,0,8,0,8,56,95,0,651,367,36,0,1,0,0,48,0,178,677,432,46,0,2,0,0,0,0,0,30,349,229,43,0,0,0,3,1,1,0,47,114,193,1,0,1,0,6,2,0,0,167,63,131,0,0,0,20,0,1,0,0,196,440,696,136,3,0,0,3,1,0,7,476,518,532,269,0,1,0,1,0,4,87,305,101,259,159,1,0,0,0,0,37,36,107,0,63,157,0,0,1,0,0,0,6,18,0,16,133,0,0,0,0,0,0,0,6,0,1,7,0,0,0,0,0,0,14,0,0,0,0,1,0,2,1,3,13,174,40,0,4,105,25,2,0,0,2,0,323,0,2,0,151,12,0,0,2,1,112,208,0,0,0,258,0,0,0,0,0,3,22,0,0,0,0,18,0,0,0,1,84,132,2,0,0,194,65,2,3,0,0
1,0,0,0,155,258,2,1,4,0,0,0,1,0,0,26,90,0,0,0,0,0,0,0,1,35,176,338,178,166,0,0,8,0,8,56,95,0,651,367,36,0,1,0,0,48,0,178,677,432,46,0,2,0,0,0,0,0,30,349,229,43,0,0,0,3,1,1,0,47,114,193,1,0,1,0,6,2,0,0,167,63,131,0,0,0,20,0,1,0,0,196,440,696,136,3,0,0,3,1,0,7,476,518,532,269,0,1,0,1,0,4,87,305,101,259,159,1,0,0,0,0,37,36,107,0,63,157,0,0,1,0,0,0,6,18,0,16,133,0,0,0,0,0,0,0,6,0,1,7,0,0,0,0,0,0,14,0,0,0,0,1,0,2,1,3,13,174,40,0,4,105,25,2,0,0,2,0,323,0,2,0,151,12,0,0,2,1,112,208,0,0,0,258,0,0,0,0,0,3,22,0,0,0,0,18,0,0,0,1,84,132,2,0,0,194,65,2,3,0,0
2,0,0,0,284,114,0,0,0,3,0,1,4,2,0,42,129,5,0,4,4,3,0,0,52,136,254,386,141,0,1,0,13,0,59,151,130,0,525,317,58,2,3,0,0,49,0,34,416,350,47,0,0,0,2,0,2,0,27,131,107,56,0,0,1,1,0,0,4,29,46,150,9,0,0,1,0,0,0,3,178,76,145,1,0,3,19,3,0,1,0,201,523,796,141,1,0,0,0,2,0,25,488,554,561,319,0,0,4,0,0,2,124,308,76,323,189,3,0,2,20,5,35,34,107,2,67,180,0,0,0,0,2,4,9,23,0,16,146,3,4,1,0,0,0,1,2,0,0,36,2,0,0,0,0,0,7,0,0,0,0,4,0,2,0,0,17,184,43,0,0,106,9,0,0,0,0,4,338,3,0,0,159,42,2,0,0,0,113,222,3,0,2,267,2,0,0,0,0,20,24,0,1,1,0,30,2,0,0,0,94,149,0,0,0,213,71,2,0,0,0
2,0,0,0,284,114,0,0,0,3,0,1,4,2,0,42,129,5,0,4,4,3,0,0,52,136,254,386,141,0,1,0,13,0,59,151,130,0,525,317,58,2,3,0,0,49,0,34,416,350,47,0,0,0,2,0,2,0,27,131,107,56,0,0,1,1,0,0,4,29,46,150,9,0,0,1,0,0,0,3,178,76,145,1,0,3,19,3,0,1,0,201,523,796,141,1,0,0,0,2,0,25,488,554,561,319,0,0,4,0,0,2,124,308,76,323,189,3,0,2,20,5,35,34,107,2,67,180,0,0,0,0,2,4,9,23,0,16,146,3,4,1,0,0,0,1,2,0,0,36,2,0,0,0,0,0,7,0,0,0,0,4,0,2,0,0,17,184,43,0,0,106,9,0,0,0,0,4,338,3,0,0,159,42,2,0,0,0,113,222,3,0,2,267,2,0,0,0,0,20,24,0,1,1,0,30,2,0,0,0,94,149,0,0,0,213,71,2,0,0,0
2,0,0,0,284,114,0,0,0,3,0,1,4,2,0,42,129,5,0,4,4,3,0,0,52,136,254,386,141,0,1,0,13,0,59,151,130,0,525,317,58,2,3,0,0,49,0,34,416,350,47,0,0,0,2,0,2,0,27,131,107,56,0,0,1,1,0,0,4,29,46,150,9,0,0,1,0,0,0,3,178,76,145,1,0,3,19,3,0,1,0,201,523,796,141,1,0,0,0,2,0,25,488,554,561,319,0,0,4,0,0,2,124,308,76,323,189,3,0,2,20,5,35,34,107,2,67,180,0,0,0,0,2,4,9,23,0,16,146,3,4,1,0,0,0,1,2,0,0,36,2,0,0,0,0,0,7,0,0,0,0,4,0,2,0,0,17,184,43,0,0,106,9,0,0,0,0,4,338,3,0,0,159,42,2,0,0,0,113,222,3,0,2,267,2,0,0,0,0,20,24,0,1,1,0,30,2,0,0,0,94,149,0,0,0,213,71,2,0,0,0
0,0,2,0,308,121,0,1,0,0,1,1,0,0,0,74,108,2,0,1,1,0,1,0,66,128,339,388,143,2,0,0,8,0,63,164,113,0,475,291,6,0,1,0,0,58,0,27,460,299,44,0,0,0,0,2,3,1,14,143,82,51,0,1,0,3,0,0,0,25,44,175,15,0,0,0,0,1,0,0,180,85,145,1,0,0,22,2,0,0,0,202,534,784,143,1,0,8,0,2,2,25,480,559,558,327,0,1,4,1,0,2,149,314,77,327,180,0,3,0,0,0,38,32,108,0,67,182,3,1,3,0,0,0,0,41,0,17,150,0,0,1,0,0,0,3,4,4,0,39,0,0,0,0,0,0,23,1,1,0,1,0,0,0,0,0,16,184,41,1,0,105,8,1,1,0,0,5,334,0,0,0,150,25,0,0,4,1,152,209,0,0,3,268,1,1,0,0,2,17,23,0,0,0,6,30,1,2,0,0,99,160,0,0,0,224,79,2,0,3,0
