pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
0,0,2,1,0,30,147,0,0,2,1,0,32,0,0,1,173,281,0,0,0,0,0,0,0,0,1,96,28,0,0,0,0,0,0,0,0,0,105,143,56,1,3,2,0,0,0,69,339,160,197,50,18,0,0,0,1,15,20,225,421,488,282,0,2,2,0,2,19,61,34,308,153,5,0,50,0,1,0,27,31,13,162,127,0,0,259,0,0,0,0,0,5,195,155,86,0,2,22,1,0,0,1,168,437,606,224,0,0,0,0,25,0,14,192,501,437,430,22,13,3,0,68,0,0,467,241,282,377,0,3,4,0,0,0,8,11,87,115,22,0,1,0,0,0,0,0,1,0,1,0,3,0,0,3,0,0,2,0,0,2,2,0,0,2,3,0,10,3,6,0,0,17,0,0,0,0,1,0,0,36,3,0,90,0,0,0,3,1,0,0,23,0,209,40,0,0,0,0,6,0,0,88,0,16,39,0,0,0,0,2,2,3,205,7,177,224,1,0,0,0
0,0,0,1,0,26,149,0,0,0,0,0,30,0,0,3,197,264,0,0,0,0,2,0,0,0,0,94,28,3,0,0,0,0,0,0,0,2,111,154,55,1,0,0,0,0,0,66,354,159,197,57,24,0,0,0,0,6,39,291,382,469,285,0,0,1,1,2,17,56,63,262,156,43,0,56,0,0,0,31,56,5,157,129,0,0,260,0,0,0,1,0,10,207,164,91,0,1,0,0,2,0,2,170,451,606,231,2,0,2,0,30,2,13,192,492,440,423,12,14,0,0,80,0,1,465,240,279,384,0,0,0,0,2,0,0,14,87,100,29,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,14,3,3,0,1,24,0,0,0,0,0,0,0,38,0,1,91,0,0,0,0,1,0,0,27,0,214,22,0,0,0,2,2,2,0,91,2,17,40,1,0,0,0,3,0,15,179,7,173,227,0,0,0,0
0,0,0,1,0,26,149,0,0,0,0,0,30,0,0,3,197,264,0,0,0,0,2,0,0,0,0,94,28,3,0,0,0,0,0,0,0,2,111,154,55,1,0,0,0,0,0,66,354,159,197,57,24,0,0,0,0,6,39,291,382,469,285,0,0,1,1,2,17,56,63,262,156,43,0,56,0,0,0,31,56,5,157,129,0,0,260,0,0,0,1,0,10,207,164,91,0,1,0,0,2,0,2,170,451,606,231,2,0,2,0,30,2,13,192,492,440,423,12,14,0,0,80,0,1,465,240,279,384,0,0,0,0,2,0,0,14,87,100,29,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,14,3,3,0,1,24,0,0,0,0,0,0,0,38,0,1,91,0,0,0,0,1,0,0,27,0,214,22,0,0,0,2,2,2,0,91,2,17,40,1,0,0,0,3,0,15,179,7,173,227,0,0,0,0
0,0,0,1,0,26,149,0,0,0,0,0,30,0,0,3,197,264,0,0,0,0,2,0,0,0,0,94,28,3,0,0,0,0,0,0,0,2,111,154,55,1,0,0,0,0,0,66,354,159,197,57,24,0,0,0,0,6,39,291,382,469,285,0,0,1,1,2,17,56,63,262,156,43,0,56,0,0,0,31,56,5,157,129,0,0,260,0,0,0,1,0,10,207,164,91,0,1,0,0,2,0,2,170,451,606,231,2,0,2,0,30,2,13,192,492,440,423,12,14,0,0,80,0,1,465,240,279,384,0,0,0,0,2,0,0,14,87,100,29,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,14,3,3,0,1,24,0,0,0,0,0,0,0,38,0,1,91,0,0,0,0,1,0,0,27,0,214,22,0,0,0,2,2,2,0,91,2,17,40,1,0,0,0,3,0,15,179,7,173,227,0,0,0,0
0,0,0,1,0,26,149,0,0,0,0,0,30,0,0,3,197,264,0,0,0,0,2,0,0,0,0,94,28,3,0,0,0,0,0,0,0,2,111,154,55,1,0,0,0,0,0,66,354,159,197,57,24,0,0,0,0,6,39,291,382,469,285,0,0,1,1,2,17,56,63,262,156,43,0,56,0,0,0,31,56,5,157,129,0,0,260,0,0,0,1,0,10,207,164,91,0,1,0,0,2,0,2,170,451,606,231,2,0,2,0,30,2,13,192,492,440,423,12,14,0,0,80,0,1,465,240,279,384,0,0,0,0,2,0,0,14,87,100,29,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,0,14,3,3,0,1,24,0,0,0,0,0,0,0,38,0,1,91,0,0,0,0,1,0,0,27,0,214,22,0,0,0,2,2,2,0,91,2,17,40,1,0,0,0,3,0,15,179,7,173,227,0,0,0,0
0,0,1,0,0,26,152,0,0,0,2,3,33,2,0,1,179,356,3,0,0,0,0,0,0,0,13,129,39,2,0,0,0,0,0,0,0,1,134,160,54,4,1,0,0,1,0,71,352,169,203,60,20,2,0,0,0,11,29,246,360,399,261,0,0,5,3,0,10,55,28,246,103,32,0,55,0,0,0,19,27,18,164,127,3,1,269,1,1,2,0,0,13,214,162,96,1,1,18,0,1,1,0,163,463,611,233,1,1,0,0,23,0,12,199,510,528,442,18,16,1,0,79,2,0,463,244,289,385,1,0,2,0,0,0,0,13,88,103,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,15,0,2,0,1,25,0,0,3,0,0,2,0,44,0,0,105,0,0,0,0,0,0,0,31,5,216,18,0,0,0,1,0,0,1,92,1,15,49,0,0,0,0,0,2,19,207,5,182,228,0,1,0,0
0,0,1,0,0,26,152,0,0,0,2,3,33,2,0,1,179,356,3,0,0,0,0,0,0,0,13,129,39,2,0,0,0,0,0,0,0,1,134,160,54,4,1,0,0,1,0,71,352,169,203,60,20,2,0,0,0,11,29,246,360,399,261,0,0,5,3,0,10,55,28,246,103,32,0,55,0,0,0,19,27,18,164,127,3,1,269,1,1,2,0,0,13,214,162,96,1,1,18,0,1,1,0,163,463,611,233,1,1,0,0,23,0,12,199,510,528,442,18,16,1,0,79,2,0,463,244,289,385,1,0,2,0,0,0,0,13,88,103,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,15,0,2,0,1,25,0,0,3,0,0,2,0,44,0,0,105,0,0,0,0,0,0,0,31,5,216,18,0,0,0,1,0,0,1,92,1,15,49,0,0,0,0,0,2,19,207,5,182,228,0,1,0,0
0,0,1,0,0,26,152,0,0,0,2,3,33,2,0,1,179,356,3,0,0,0,0,0,0,0,13,129,39,2,0,0,0,0,0,0,0,1,134,160,54,4,1,0,0,1,0,71,352,169,203,60,20,2,0,0,0,11,29,246,360,399,261,0,0,5,3,0,10,55,28,246,103,32,0,55,0,0,0,19,27,18,164,127,3,1,269,1,1,2,0,0,13,214,162,96,1,1,18,0,1,1,0,163,463,611,233,1,1,0,0,23,0,12,199,510,528,442,18,16,1,0,79,2,0,463,244,289,385,1,0,2,0,0,0,0,13,88,103,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,15,0,2,0,1,25,0,0,3,0,0,2,0,44,0,0,105,0,0,0,0,0,0,0,31,5,216,18,0,0,0,1,0,0,1,92,1,15,49,0,0,0,0,0,2,19,207,5,182,228,0,1,0,0
2,0,0,0,0,45,144,0,0,0,1,0,33,0,1,0,193,299,0,0,0,1,0,0,0,0,0,87,17,0,0,3,0,0,0,1,1,1,107,162,62,3,4,1,0,1,0,53,345,161,187,62,0,0,1,0,1,7,16,370,385,445,279,0,0,2,0,0,11,58,67,259,109,32,1,50,0,4,0,37,50,21,171,109,0,1,264,2,0,0,0,0,38,216,158,90,0,3,3,0,0,0,1,150,440,615,245,0,0,0,0,28,0,9,184,526,535,421,8,15,0,0,87,0,0,460,237,276,379,0,0,1,1,0,1,0,6,90,83,32,0,0,0,0,2,3,0,0,0,0,0,0,1,2,0,0,0,1,2,0,3,0,0,0,0,0,0,12,3,5,2,3,22,3,0,3,0,1,0,0,31,0,0,91,8,1,0,0,0,0,0,16,0,15,43,0,0,0,0,0,0,0,87,0,10,44,0,0,0,0,1,0,13,192,1,146,245,0,0,0,0
2,0,0,0,0,45,144,0,0,0,1,0,33,0,1,0,193,299,0,0,0,1,0,0,0,0,0,87,17,0,0,3,0,0,0,1,1,1,107,162,62,3,4,1,0,1,0,53,345,161,187,62,0,0,1,0,1,7,16,370,385,445,279,0,0,2,0,0,11,58,67,259,109,32,1,50,0,4,0,37,50,21,171,109,0,1,264,2,0,0,0,0,38,216,158,90,0,3,3,0,0,0,1,150,440,615,245,0,0,0,0,28,0,9,184,526,535,421,8,15,0,0,87,0,0,460,237,276,379,0,0,1,1,0,1,0,6,90,83,32,0,0,0,0,2,3,0,0,0,0,0,0,1,2,0,0,0,1,2,0,3,0,0,0,0,0,0,12,3,5,2,3,22,3,0,3,0,1,0,0,31,0,0,91,8,1,0,0,0,0,0,16,0,15,43,0,0,0,0,0,0,0,87,0,10,44,0,0,0,0,1,0,13,192,1,146,245,0,0,0,0
