pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
0,0,0,2,65,260,155,0,1,0,0,0,21,0,0,0,112,44,1,1,0,0,0,0,0,18,96,259,93,16,0,0,11,1,2,27,97,0,333,260,189,75,1,1,0,1,0,34,338,308,274,102,6,0,0,0,8,24,17,185,373,315,221,0,88,2,0,18,26,0,41,272,80,2,1,71,1,0,6,12,30,21,109,81,16,6,213,0,0,0,1,0,63,382,182,99,1,4,0,0,1,0,0,361,720,824,143,0,40,0,1,38,0,61,249,399,434,272,7,45,18,0,68,0,64,404,136,223,224,0,1,0,0,0,2,2,59,68,142,64,1,2,0,0,0,2,23,8,1,9,19,0,0,0,0,0,0,42,1,0,0,51,0,1,0,1,0,70,403,0,1,0,63,0,0,0,0,1,114,130,0,0,7,231,1,0,0,0,0,202,40,0,0,191,97,92,0,0,0,0,4,62,1,0,0,77,0,0,0,0,1,87,0,0,0,0,186,0,0,0,0
0,0,0,0,70,282,155,0,0,0,0,1,23,1,2,1,110,58,0,0,0,0,0,13,0,15,90,259,89,20,0,1,9,1,0,27,102,0,333,248,196,77,2,0,0,1,0,45,353,307,313,111,2,0,0,0,6,26,15,197,369,314,220,0,78,0,0,10,24,1,37,244,76,0,0,56,2,0,9,16,31,28,111,74,13,7,201,0,0,1,0,0,59,382,181,102,1,2,0,0,0,2,0,372,724,821,126,0,31,0,0,36,0,64,241,390,456,280,9,42,18,1,76,1,99,405,137,226,219,0,0,0,0,0,0,0,55,66,147,66,0,0,0,0,0,0,26,8,0,13,15,0,0,0,1,0,2,40,0,1,0,66,1,0,0,0,0,77,404,0,0,0,68,0,1,0,0,0,92,114,0,0,7,221,1,0,0,0,0,212,35,0,0,194,113,89,0,0,1,0,1,68,0,0,0,70,0,0,1,0,1,74,3,0,0,0,202,1,0,1,0
0,0,0,0,70,282,155,0,0,0,0,1,23,1,2,1,110,58,0,0,0,0,0,13,0,15,90,259,89,20,0,1,9,1,0,27,102,0,333,248,196,77,2,0,0,1,0,45,353,307,313,111,2,0,0,0,6,26,15,197,369,314,220,0,78,0,0,10,24,1,37,244,76,0,0,56,2,0,9,16,31,28,111,74,13,7,201,0,0,1,0,0,59,382,181,102,1,2,0,0,0,2,0,372,724,821,126,0,31,0,0,36,0,64,241,390,456,280,9,42,18,1,76,1,99,405,137,226,219,0,0,0,0,0,0,0,55,66,147,66,0,0,0,0,0,0,26,8,0,13,15,0,0,0,1,0,2,40,0,1,0,66,1,0,0,0,0,77,404,0,0,0,68,0,1,0,0,0,92,114,0,0,7,221,1,0,0,0,0,212,35,0,0,194,113,89,0,0,1,0,1,68,0,0,0,70,0,0,1,0,1,74,3,0,0,0,202,1,0,1,0
0,0,0,0,70,282,155,0,0,0,0,1,23,1,2,1,110,58,0,0,0,0,0,13,0,15,90,259,89,20,0,1,9,1,0,27,102,0,333,248,196,77,2,0,0,1,0,45,353,307,313,111,2,0,0,0,6,26,15,197,369,314,220,0,78,0,0,10,24,1,37,244,76,0,0,56,2,0,9,16,31,28,111,74,13,7,201,0,0,1,0,0,59,382,181,102,1,2,0,0,0,2,0,372,724,821,126,0,31,0,0,36,0,64,241,390,456,280,9,42,18,1,76,1,99,405,137,226,219,0,0,0,0,0,0,0,55,66,147,66,0,0,0,0,0,0,26,8,0,13,15,0,0,0,1,0,2,40,0,1,0,66,1,0,0,0,0,77,404,0,0,0,68,0,1,0,0,0,92,114,0,0,7,221,1,0,0,0,0,212,35,0,0,194,113,89,0,0,1,0,1,68,0,0,0,70,0,0,1,0,1,74,3,0,0,0,202,1,0,1,0
0,0,0,0,67,288,156,1,1,0,0,0,24,0,1,0,127,61,0,1,0,0,0,0,0,17,89,281,93,22,0,0,11,0,0,25,113,0,315,275,189,78,0,0,0,0,1,42,348,295,307,211,10,0,0,0,8,34,17,191,368,317,221,0,96,0,0,23,21,0,42,260,78,0,2,56,0,1,5,12,38,27,121,91,12,7,220,0,0,0,0,0,57,388,178,99,0,3,1,0,0,0,0,369,724,826,146,0,41,1,0,46,0,66,242,397,450,281,9,41,19,1,66,0,68,442,129,233,232,0,2,0,0,0,0,1,58,65,147,68,0,0,0,0,0,0,24,8,0,0,21,0,0,2,0,0,0,45,0,0,1,21,1,0,0,0,0,78,404,0,0,0,64,0,0,1,0,0,85,129,0,0,5,218,2,0,0,0,0,210,34,1,1,192,112,88,0,0,0,0,5,40,0,1,0,74,0,2,0,0,0,90,4,0,1,0,195,0,0,0,0
0,0,0,0,67,288,156,1,1,0,0,0,24,0,1,0,127,61,0,1,0,0,0,0,0,17,89,281,93,22,0,0,11,0,0,25,113,0,315,275,189,78,0,0,0,0,1,42,348,295,307,211,10,0,0,0,8,34,17,191,368,317,221,0,96,0,0,23,21,0,42,260,78,0,2,56,0,1,5,12,38,27,121,91,12,7,220,0,0,0,0,0,57,388,178,99,0,3,1,0,0,0,0,369,724,826,146,0,41,1,0,46,0,66,242,397,450,281,9,41,19,1,66,0,68,442,129,233,232,0,2,0,0,0,0,1,58,65,147,68,0,0,0,0,0,0,24,8,0,0,21,0,0,2,0,0,0,45,0,0,1,21,1,0,0,0,0,78,404,0,0,0,64,0,0,1,0,0,85,129,0,0,5,218,2,0,0,0,0,210,34,1,1,192,112,88,0,0,0,0,5,40,0,1,0,74,0,2,0,0,0,90,4,0,1,0,195,0,0,0,0
0,0,0,0,67,288,156,1,1,0,0,0,24,0,1,0,127,61,0,1,0,0,0,0,0,17,89,281,93,22,0,0,11,0,0,25,113,0,315,275,189,78,0,0,0,0,1,42,348,295,307,211,10,0,0,0,8,34,17,191,368,317,221,0,96,0,0,23,21,0,42,260,78,0,2,56,0,1,5,12,38,27,121,91,12,7,220,0,0,0,0,0,57,388,178,99,0,3,1,0,0,0,0,369,724,826,146,0,41,1,0,46,0,66,242,397,450,281,9,41,19,1,66,0,68,442,129,233,232,0,2,0,0,0,0,1,58,65,147,68,0,0,0,0,0,0,24,8,0,0,21,0,0,2,0,0,0,45,0,0,1,21,1,0,0,0,0,78,404,0,0,0,64,0,0,1,0,0,85,129,0,0,5,218,2,0,0,0,0,210,34,1,1,192,112,88,0,0,0,0,5,40,0,1,0,74,0,2,0,0,0,90,4,0,1,0,195,0,0,0,0
0,0,0,0,67,288,156,1,1,0,0,0,24,0,1,0,127,61,0,1,0,0,0,0,0,17,89,281,93,22,0,0,11,0,0,25,113,0,315,275,189,78,0,0,0,0,1,42,348,295,307,211,10,0,0,0,8,34,17,191,368,317,221,0,96,0,0,23,21,0,42,260,78,0,2,56,0,1,5,12,38,27,121,91,12,7,220,0,0,0,0,0,57,388,178,99,0,3,1,0,0,0,0,369,724,826,146,0,41,1,0,46,0,66,242,397,450,281,9,41,19,1,66,0,68,442,129,233,232,0,2,0,0,0,0,1,58,65,147,68,0,0,0,0,0,0,24,8,0,0,21,0,0,2,0,0,0,45,0,0,1,21,1,0,0,0,0,78,404,0,0,0,64,0,0,1,0,0,85,129,0,0,5,218,2,0,0,0,0,210,34,1,1,192,112,88,0,0,0,0,5,40,0,1,0,74,0,2,0,0,0,90,4,0,1,0,195,0,0,0,0
0,0,0,1,60,292,171,1,0,0,0,0,21,0,0,0,109,53,1,1,0,0,0,0,0,19,91,309,85,24,0,0,11,1,0,27,112,0,322,273,206,74,1,0,0,0,0,40,338,294,331,191,12,0,0,0,3,34,20,189,391,312,219,0,99,0,0,22,21,0,42,272,83,1,1,75,0,0,5,13,42,30,125,90,12,9,207,0,1,1,0,0,70,386,182,99,0,6,0,0,0,0,0,367,727,830,129,1,42,0,0,47,1,62,237,401,451,276,11,42,19,0,82,0,102,436,133,229,229,0,0,1,0,0,0,0,61,65,150,66,0,0,0,0,0,1,25,8,0,2,17,1,0,0,1,0,0,24,0,0,0,46,0,0,0,1,0,63,412,1,0,1,60,1,1,2,0,1,99,137,0,0,4,204,0,0,1,0,0,205,41,0,0,192,111,85,0,0,0,0,1,55,0,0,0,62,0,0,1,0,1,76,4,0,1,0,175,0,0,0,0
0,0,0,1,60,292,171,1,0,0,0,0,21,0,0,0,109,53,1,1,0,0,0,0,0,19,91,309,85,24,0,0,11,1,0,27,112,0,322,273,206,74,1,0,0,0,0,40,338,294,331,191,12,0,0,0,3,34,20,189,391,312,219,0,99,0,0,22,21,0,42,272,83,1,1,75,0,0,5,13,42,30,125,90,12,9,207,0,1,1,0,0,70,386,182,99,0,6,0,0,0,0,0,367,727,830,129,1,42,0,0,47,1,62,237,401,451,276,11,42,19,0,82,0,102,436,133,229,229,0,0,1,0,0,0,0,61,65,150,66,0,0,0,0,0,1,25,8,0,2,17,1,0,0,1,0,0,24,0,0,0,46,0,0,0,1,0,63,412,1,0,1,60,1,1,2,0,1,99,137,0,0,4,204,0,0,1,0,0,205,41,0,0,192,111,85,0,0,0,0,1,55,0,0,0,62,0,0,1,0,1,76,4,0,1,0,175,0,0,0,0
