pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
0,0,0,0,0,62,30,1,0,2,0,1,0,0,3,19,61,16,1,0,0,0,0,1,0,20,193,358,166,274,1,2,8,2,0,0,9,0,578,463,242,0,2,0,0,1,0,1,140,166,100,46,1,0,1,0,0,0,0,25,111,78,63,2,1,0,0,0,0,1,32,172,35,0,0,0,0,0,1,0,17,17,197,142,215,0,25,0,0,0,1,0,114,647,434,260,0,0,1,0,0,0,1,199,485,615,320,0,1,1,0,15,0,0,45,101,114,238,9,29,0,1,8,0,0,348,15,65,90,1,2,2,0,0,1,0,1,62,111,39,0,0,0,0,1,1,0,10,1,2,0,0,0,2,0,0,0,33,105,0,2,83,0,0,1,2,1,0,81,213,0,125,80,2,0,0,0,0,0,0,40,0,31,42,0,0,1,0,0,0,0,34,0,224,6,0,0,0,0,0,0,0,163,32,72,13,0,0,1,2,0,1,0,16,0,50,1,1,0,0,0
0,0,0,0,0,62,30,1,0,2,0,1,0,0,3,19,61,16,1,0,0,0,0,1,0,20,193,358,166,274,1,2,8,2,0,0,9,0,578,463,242,0,2,0,0,1,0,1,140,166,100,46,1,0,1,0,0,0,0,25,111,78,63,2,1,0,0,0,0,1,32,172,35,0,0,0,0,0,1,0,17,17,197,142,215,0,25,0,0,0,1,0,114,647,434,260,0,0,1,0,0,0,1,199,485,615,320,0,1,1,0,15,0,0,45,101,114,238,9,29,0,1,8,0,0,348,15,65,90,1,2,2,0,0,1,0,1,62,111,39,0,0,0,0,1,1,0,10,1,2,0,0,0,2,0,0,0,33,105,0,2,83,0,0,1,2,1,0,81,213,0,125,80,2,0,0,0,0,0,0,40,0,31,42,0,0,1,0,0,0,0,34,0,224,6,0,0,0,0,0,0,0,163,32,72,13,0,0,1,2,0,1,0,16,0,50,1,1,0,0,0
0,0,0,0,0,62,30,1,0,2,0,1,0,0,3,19,61,16,1,0,0,0,0,1,0,20,193,358,166,274,1,2,8,2,0,0,9,0,578,463,242,0,2,0,0,1,0,1,140,166,100,46,1,0,1,0,0,0,0,25,111,78,63,2,1,0,0,0,0,1,32,172,35,0,0,0,0,0,1,0,17,17,197,142,215,0,25,0,0,0,1,0,114,647,434,260,0,0,1,0,0,0,1,199,485,615,320,0,1,1,0,15,0,0,45,101,114,238,9,29,0,1,8,0,0,348,15,65,90,1,2,2,0,0,1,0,1,62,111,39,0,0,0,0,1,1,0,10,1,2,0,0,0,2,0,0,0,33,105,0,2,83,0,0,1,2,1,0,81,213,0,125,80,2,0,0,0,0,0,0,40,0,31,42,0,0,1,0,0,0,0,34,0,224,6,0,0,0,0,0,0,0,163,32,72,13,0,0,1,2,0,1,0,16,0,50,1,1,0,0,0
0,0,1,0,0,64,32,0,1,1,0,1,0,0,0,27,61,18,0,0,0,0,1,0,1,19,178,340,171,189,0,0,9,0,0,0,8,1,569,456,213,0,0,1,0,0,0,0,154,153,149,49,0,0,0,1,0,1,0,49,106,83,67,2,0,0,0,0,0,0,29,164,41,0,0,0,0,1,0,0,15,19,185,147,212,0,21,0,0,1,0,0,113,654,425,257,0,0,0,0,0,1,0,186,476,621,310,0,2,0,0,16,0,1,41,102,121,243,10,29,0,0,11,0,0,361,25,71,87,0,2,0,1,0,0,0,1,63,115,50,0,0,1,0,0,0,0,7,0,1,1,1,0,0,0,0,0,24,107,0,0,86,2,0,1,0,1,1,84,208,0,121,80,0,0,1,0,0,0,0,45,1,28,50,1,0,0,1,1,0,1,32,1,224,5,0,0,1,0,0,0,0,156,30,70,12,0,1,1,0,1,0,0,10,0,49,1,0,0,0,0
0,0,1,0,0,64,32,0,1,1,0,1,0,0,0,27,61,18,0,0,0,0,1,0,1,19,178,340,171,189,0,0,9,0,0,0,8,1,569,456,213,0,0,1,0,0,0,0,154,153,149,49,0,0,0,1,0,1,0,49,106,83,67,2,0,0,0,0,0,0,29,164,41,0,0,0,0,1,0,0,15,19,185,147,212,0,21,0,0,1,0,0,113,654,425,257,0,0,0,0,0,1,0,186,476,621,310,0,2,0,0,16,0,1,41,102,121,243,10,29,0,0,11,0,0,361,25,71,87,0,2,0,1,0,0,0,1,63,115,50,0,0,1,0,0,0,0,7,0,1,1,1,0,0,0,0,0,24,107,0,0,86,2,0,1,0,1,1,84,208,0,121,80,0,0,1,0,0,0,0,45,1,28,50,1,0,0,1,1,0,1,32,1,224,5,0,0,1,0,0,0,0,156,30,70,12,0,1,1,0,1,0,0,10,0,49,1,0,0,0,0
0,0,1,0,0,64,32,0,1,1,0,1,0,0,0,27,61,18,0,0,0,0,1,0,1,19,178,340,171,189,0,0,9,0,0,0,8,1,569,456,213,0,0,1,0,0,0,0,154,153,149,49,0,0,0,1,0,1,0,49,106,83,67,2,0,0,0,0,0,0,29,164,41,0,0,0,0,1,0,0,15,19,185,147,212,0,21,0,0,1,0,0,113,654,425,257,0,0,0,0,0,1,0,186,476,621,310,0,2,0,0,16,0,1,41,102,121,243,10,29,0,0,11,0,0,361,25,71,87,0,2,0,1,0,0,0,1,63,115,50,0,0,1,0,0,0,0,7,0,1,1,1,0,0,0,0,0,24,107,0,0,86,2,0,1,0,1,1,84,208,0,121,80,0,0,1,0,0,0,0,45,1,28,50,1,0,0,1,1,0,1,32,1,224,5,0,0,1,0,0,0,0,156,30,70,12,0,1,1,0,1,0,0,10,0,49,1,0,0,0,0
0,0,1,0,0,64,32,0,1,1,0,1,0,0,0,27,61,18,0,0,0,0,1,0,1,19,178,340,171,189,0,0,9,0,0,0,8,1,569,456,213,0,0,1,0,0,0,0,154,153,149,49,0,0,0,1,0,1,0,49,106,83,67,2,0,0,0,0,0,0,29,164,41,0,0,0,0,1,0,0,15,19,185,147,212,0,21,0,0,1,0,0,113,654,425,257,0,0,0,0,0,1,0,186,476,621,310,0,2,0,0,16,0,1,41,102,121,243,10,29,0,0,11,0,0,361,25,71,87,0,2,0,1,0,0,0,1,63,115,50,0,0,1,0,0,0,0,7,0,1,1,1,0,0,0,0,0,24,107,0,0,86,2,0,1,0,1,1,84,208,0,121,80,0,0,1,0,0,0,0,45,1,28,50,1,0,0,1,1,0,1,32,1,224,5,0,0,1,0,0,0,0,156,30,70,12,0,1,1,0,1,0,0,10,0,49,1,0,0,0,0
0,0,0,0,0,63,35,1,0,0,0,0,2,1,0,23,49,26,2,0,0,0,0,1,1,26,204,344,168,288,1,0,9,2,1,0,6,2,578,440,228,0,2,1,1,0,0,0,150,145,142,48,0,0,0,2,1,0,0,15,93,95,72,0,0,0,0,0,0,0,25,136,37,0,0,0,0,0,0,0,15,18,155,149,211,0,27,0,0,0,0,0,120,664,429,253,1,1,0,0,0,0,0,183,477,620,321,0,1,0,0,16,0,2,42,101,120,233,10,12,1,2,10,0,0,363,25,69,85,0,3,0,0,0,1,0,0,62,114,50,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,35,101,0,1,85,0,0,0,0,0,0,86,213,0,120,77,1,0,0,0,0,0,0,39,1,32,54,0,0,0,0,0,0,0,35,0,225,10,0,0,0,0,3,0,0,160,31,71,12,0,0,1,0,0,0,2,4,3,55,0,0,1,0,0
0,0,0,0,0,63,35,1,0,0,0,0,2,1,0,23,49,26,2,0,0,0,0,1,1,26,204,344,168,288,1,0,9,2,1,0,6,2,578,440,228,0,2,1,1,0,0,0,150,145,142,48,0,0,0,2,1,0,0,15,93,95,72,0,0,0,0,0,0,0,25,136,37,0,0,0,0,0,0,0,15,18,155,149,211,0,27,0,0,0,0,0,120,664,429,253,1,1,0,0,0,0,0,183,477,620,321,0,1,0,0,16,0,2,42,101,120,233,10,12,1,2,10,0,0,363,25,69,85,0,3,0,0,0,1,0,0,62,114,50,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,35,101,0,1,85,0,0,0,0,0,0,86,213,0,120,77,1,0,0,0,0,0,0,39,1,32,54,0,0,0,0,0,0,0,35,0,225,10,0,0,0,0,3,0,0,160,31,71,12,0,0,1,0,0,0,2,4,3,55,0,0,1,0,0
0,0,0,0,0,63,35,1,0,0,0,0,2,1,0,23,49,26,2,0,0,0,0,1,1,26,204,344,168,288,1,0,9,2,1,0,6,2,578,440,228,0,2,1,1,0,0,0,150,145,142,48,0,0,0,2,1,0,0,15,93,95,72,0,0,0,0,0,0,0,25,136,37,0,0,0,0,0,0,0,15,18,155,149,211,0,27,0,0,0,0,0,120,664,429,253,1,1,0,0,0,0,0,183,477,620,321,0,1,0,0,16,0,2,42,101,120,233,10,12,1,2,10,0,0,363,25,69,85,0,3,0,0,0,1,0,0,62,114,50,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,35,101,0,1,85,0,0,0,0,0,0,86,213,0,120,77,1,0,0,0,0,0,0,39,1,32,54,0,0,0,0,0,0,0,35,0,225,10,0,0,0,0,3,0,0,160,31,71,12,0,0,1,0,0,0,2,4,3,55,0,0,1,0,0
