pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
3,2,0,3,1,0,1,0,3,0,2,0,1,1,0,1,0,0,0,0,2,0,1,2,3,2,197,0,0,0,0,1,0,0,1,1,4,0,39,26,1,3,0,3,2,0,1,15,2,574,288,349,65,8,2,0,2,1,0,47,234,48,43,122,166,3,1,0,0,1,41,284,14,3,3,3,0,0,1,1,0,213,263,23,0,0,0,1,0,4,0,7,255,168,195,1,0,27,0,1,4,1,3,812,195,0,2,37,412,0,0,26,0,13,878,257,0,0,53,149,17,0,0,0,1,185,314,0,2,0,0,0,1,10,1,4,0,101,1,12,0,1,3,1,4,0,0,0,92,26,4,1,4,0,4,4,0,4,1,45,114,1,0,15,81,2,1,1,3,3,0,0,0,1,1,1,0,1,3,0,3,3,0,3,0,0,0,6,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,3,0,2,0,0,1,0,1,1,1
3,2,0,3,1,0,1,0,3,0,2,0,1,1,0,1,0,0,0,0,2,0,1,2,3,2,197,0,0,0,0,1,0,0,1,1,4,0,39,26,1,3,0,3,2,0,1,15,2,574,288,349,65,8,2,0,2,1,0,47,234,48,43,122,166,3,1,0,0,1,41,284,14,3,3,3,0,0,1,1,0,213,263,23,0,0,0,1,0,4,0,7,255,168,195,1,0,27,0,1,4,1,3,812,195,0,2,37,412,0,0,26,0,13,878,257,0,0,53,149,17,0,0,0,1,185,314,0,2,0,0,0,1,10,1,4,0,101,1,12,0,1,3,1,4,0,0,0,92,26,4,1,4,0,4,4,0,4,1,45,114,1,0,15,81,2,1,1,3,3,0,0,0,1,1,1,0,1,3,0,3,3,0,3,0,0,0,6,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,3,0,2,0,0,1,0,1,1,1
3,2,0,3,1,0,1,0,3,0,2,0,1,1,0,1,0,0,0,0,2,0,1,2,3,2,197,0,0,0,0,1,0,0,1,1,4,0,39,26,1,3,0,3,2,0,1,15,2,574,288,349,65,8,2,0,2,1,0,47,234,48,43,122,166,3,1,0,0,1,41,284,14,3,3,3,0,0,1,1,0,213,263,23,0,0,0,1,0,4,0,7,255,168,195,1,0,27,0,1,4,1,3,812,195,0,2,37,412,0,0,26,0,13,878,257,0,0,53,149,17,0,0,0,1,185,314,0,2,0,0,0,1,10,1,4,0,101,1,12,0,1,3,1,4,0,0,0,92,26,4,1,4,0,4,4,0,4,1,45,114,1,0,15,81,2,1,1,3,3,0,0,0,1,1,1,0,1,3,0,3,3,0,3,0,0,0,6,0,1,0,0,0,1,0,1,0,0,1,0,0,0,3,0,0,0,0,0,3,0,0,3,0,2,0,0,1,0,1,1,1
0,1,0,1,1,2,0,0,1,2,1,0,3,0,1,0,1,67,3,0,2,0,1,0,0,4,205,2,96,0,1,1,1,0,0,0,0,0,40,26,1,26,0,0,2,0,3,1,1,521,378,427,90,7,0,1,1,0,0,6,239,47,45,124,210,12,2,0,2,0,13,258,14,0,1,0,2,3,0,0,0,129,333,69,3,3,0,1,0,1,0,10,185,217,351,16,10,12,1,0,2,2,19,464,130,38,33,0,3,3,0,27,2,20,458,268,65,0,0,0,0,0,2,0,1,152,359,0,0,0,0,2,2,7,2,1,2,172,16,163,0,0,1,2,1,0,1,0,126,28,203,187,1,0,10,0,0,12,0,55,290,28,1,2,0,2,3,0,1,0,0,113,0,0,0,3,0,0,4,0,1,0,1,2,0,1,3,10,1,0,1,0,0,27,5,0,0,0,0,1,1,3,1,0,0,4,0,1,0,0,0,0,3,0,0,0,0,50,1,0,1
0,1,0,1,1,2,0,0,1,2,1,0,3,0,1,0,1,67,3,0,2,0,1,0,0,4,205,2,96,0,1,1,1,0,0,0,0,0,40,26,1,26,0,0,2,0,3,1,1,521,378,427,90,7,0,1,1,0,0,6,239,47,45,124,210,12,2,0,2,0,13,258,14,0,1,0,2,3,0,0,0,129,333,69,3,3,0,1,0,1,0,10,185,217,351,16,10,12,1,0,2,2,19,464,130,38,33,0,3,3,0,27,2,20,458,268,65,0,0,0,0,0,2,0,1,152,359,0,0,0,0,2,2,7,2,1,2,172,16,163,0,0,1,2,1,0,1,0,126,28,203,187,1,0,10,0,0,12,0,55,290,28,1,2,0,2,3,0,1,0,0,113,0,0,0,3,0,0,4,0,1,0,1,2,0,1,3,10,1,0,1,0,0,27,5,0,0,0,0,1,1,3,1,0,0,4,0,1,0,0,0,0,3,0,0,0,0,50,1,0,1
0,1,0,1,1,2,0,0,1,2,1,0,3,0,1,0,1,67,3,0,2,0,1,0,0,4,205,2,96,0,1,1,1,0,0,0,0,0,40,26,1,26,0,0,2,0,3,1,1,521,378,427,90,7,0,1,1,0,0,6,239,47,45,124,210,12,2,0,2,0,13,258,14,0,1,0,2,3,0,0,0,129,333,69,3,3,0,1,0,1,0,10,185,217,351,16,10,12,1,0,2,2,19,464,130,38,33,0,3,3,0,27,2,20,458,268,65,0,0,0,0,0,2,0,1,152,359,0,0,0,0,2,2,7,2,1,2,172,16,163,0,0,1,2,1,0,1,0,126,28,203,187,1,0,10,0,0,12,0,55,290,28,1,2,0,2,3,0,1,0,0,113,0,0,0,3,0,0,4,0,1,0,1,2,0,1,3,10,1,0,1,0,0,27,5,0,0,0,0,1,1,3,1,0,0,4,0,1,0,0,0,0,3,0,0,0,0,50,1,0,1
0,1,0,1,1,2,0,0,1,2,1,0,3,0,1,0,1,67,3,0,2,0,1,0,0,4,205,2,96,0,1,1,1,0,0,0,0,0,40,26,1,26,0,0,2,0,3,1,1,521,378,427,90,7,0,1,1,0,0,6,239,47,45,124,210,12,2,0,2,0,13,258,14,0,1,0,2,3,0,0,0,129,333,69,3,3,0,1,0,1,0,10,185,217,351,16,10,12,1,0,2,2,19,464,130,38,33,0,3,3,0,27,2,20,458,268,65,0,0,0,0,0,2,0,1,152,359,0,0,0,0,2,2,7,2,1,2,172,16,163,0,0,1,2,1,0,1,0,126,28,203,187,1,0,10,0,0,12,0,55,290,28,1,2,0,2,3,0,1,0,0,113,0,0,0,3,0,0,4,0,1,0,1,2,0,1,3,10,1,0,1,0,0,27,5,0,0,0,0,1,1,3,1,0,0,4,0,1,0,0,0,0,3,0,0,0,0,50,1,0,1
2,3,3,1,0,2,0,1,0,0,2,0,0,0,3,2,1,13,2,0,0,2,4,0,3,0,203,0,13,0,60,4,0,0,0,0,0,0,30,22,8,47,0,0,0,3,1,3,1,428,425,438,116,12,0,0,0,0,1,8,146,47,53,121,242,52,0,0,0,0,3,155,26,0,0,2,2,2,3,0,0,74,311,68,5,3,0,2,0,1,2,0,136,227,367,33,0,13,0,0,1,0,0,373,130,44,22,3,2,2,0,28,1,7,702,356,50,1,0,3,1,0,0,0,2,307,436,3,4,0,2,0,2,11,0,0,0,209,13,138,4,1,2,2,0,0,3,0,191,39,179,83,0,0,3,0,0,14,0,80,274,24,0,0,0,0,0,0,0,0,1,28,33,0,0,0,0,0,2,0,0,1,0,2,2,0,1,14,0,2,0,0,3,2,10,0,2,0,0,0,0,3,0,0,2,0,39,2,0,4,1,1,0,0,2,0,39,4,3,0,1
2,3,3,1,0,2,0,1,0,0,2,0,0,0,3,2,1,13,2,0,0,2,4,0,3,0,203,0,13,0,60,4,0,0,0,0,0,0,30,22,8,47,0,0,0,3,1,3,1,428,425,438,116,12,0,0,0,0,1,8,146,47,53,121,242,52,0,0,0,0,3,155,26,0,0,2,2,2,3,0,0,74,311,68,5,3,0,2,0,1,2,0,136,227,367,33,0,13,0,0,1,0,0,373,130,44,22,3,2,2,0,28,1,7,702,356,50,1,0,3,1,0,0,0,2,307,436,3,4,0,2,0,2,11,0,0,0,209,13,138,4,1,2,2,0,0,3,0,191,39,179,83,0,0,3,0,0,14,0,80,274,24,0,0,0,0,0,0,0,0,1,28,33,0,0,0,0,0,2,0,0,1,0,2,2,0,1,14,0,2,0,0,3,2,10,0,2,0,0,0,0,3,0,0,2,0,39,2,0,4,1,1,0,0,2,0,39,4,3,0,1
2,3,3,1,0,2,0,1,0,0,2,0,0,0,3,2,1,13,2,0,0,2,4,0,3,0,203,0,13,0,60,4,0,0,0,0,0,0,30,22,8,47,0,0,0,3,1,3,1,428,425,438,116,12,0,0,0,0,1,8,146,47,53,121,242,52,0,0,0,0,3,155,26,0,0,2,2,2,3,0,0,74,311,68,5,3,0,2,0,1,2,0,136,227,367,33,0,13,0,0,1,0,0,373,130,44,22,3,2,2,0,28,1,7,702,356,50,1,0,3,1,0,0,0,2,307,436,3,4,0,2,0,2,11,0,0,0,209,13,138,4,1,2,2,0,0,3,0,191,39,179,83,0,0,3,0,0,14,0,80,274,24,0,0,0,0,0,0,0,0,1,28,33,0,0,0,0,0,2,0,0,1,0,2,2,0,1,14,0,2,0,0,3,2,10,0,2,0,0,0,0,3,0,0,2,0,39,2,0,4,1,1,0,0,2,0,39,4,3,0,1
