pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
4,2,5,0,16,0,11,2,1,0,0,0,2,2,0,35,127,64,26,1,0,0,3,2,0,0,253,0,13,2,1,2,1,0,0,0,0,2,32,3,0,0,0,1,0,1,0,49,45,315,403,100,46,0,0,1,2,50,0,53,472,592,49,55,19,3,3,0,0,0,0,96,65,26,0,129,1,0,8,0,0,59,57,56,7,1,0,0,1,1,0,0,183,429,679,162,3,21,1,1,2,0,3,168,285,370,184,2,14,1,3,25,3,4,193,124,123,138,4,4,1,2,1,0,0,4,104,0,12,2,4,3,0,4,0,0,0,37,8,74,3,5,4,0,0,1,4,0,18,21,2,0,2,1,1,0,2,0,1,66,37,46,0,0,0,2,0,1,0,0,0,22,19,0,0,1,0,4,0,1,0,4,1,22,0,0,0,0,1,0,0,1,18,330,170,0,2,0,0,1,0,3,1,2,40,1,0,1,2,0,0,0,5,0,0,1,0,3,0,0,0
4,2,5,0,16,0,11,2,1,0,0,0,2,2,0,35,127,64,26,1,0,0,3,2,0,0,253,0,13,2,1,2,1,0,0,0,0,2,32,3,0,0,0,1,0,1,0,49,45,315,403,100,46,0,0,1,2,50,0,53,472,592,49,55,19,3,3,0,0,0,0,96,65,26,0,129,1,0,8,0,0,59,57,56,7,1,0,0,1,1,0,0,183,429,679,162,3,21,1,1,2,0,3,168,285,370,184,2,14,1,3,25,3,4,193,124,123,138,4,4,1,2,1,0,0,4,104,0,12,2,4,3,0,4,0,0,0,37,8,74,3,5,4,0,0,1,4,0,18,21,2,0,2,1,1,0,2,0,1,66,37,46,0,0,0,2,0,1,0,0,0,22,19,0,0,1,0,4,0,1,0,4,1,22,0,0,0,0,1,0,0,1,18,330,170,0,2,0,0,1,0,3,1,2,40,1,0,1,2,0,0,0,5,0,0,1,0,3,0,0,0
4,2,5,0,16,0,11,2,1,0,0,0,2,2,0,35,127,64,26,1,0,0,3,2,0,0,253,0,13,2,1,2,1,0,0,0,0,2,32,3,0,0,0,1,0,1,0,49,45,315,403,100,46,0,0,1,2,50,0,53,472,592,49,55,19,3,3,0,0,0,0,96,65,26,0,129,1,0,8,0,0,59,57,56,7,1,0,0,1,1,0,0,183,429,679,162,3,21,1,1,2,0,3,168,285,370,184,2,14,1,3,25,3,4,193,124,123,138,4,4,1,2,1,0,0,4,104,0,12,2,4,3,0,4,0,0,0,37,8,74,3,5,4,0,0,1,4,0,18,21,2,0,2,1,1,0,2,0,1,66,37,46,0,0,0,2,0,1,0,0,0,22,19,0,0,1,0,4,0,1,0,4,1,22,0,0,0,0,1,0,0,1,18,330,170,0,2,0,0,1,0,3,1,2,40,1,0,1,2,0,0,0,5,0,0,1,0,3,0,0,0
4,2,5,0,16,0,11,2,1,0,0,0,2,2,0,35,127,64,26,1,0,0,3,2,0,0,253,0,13,2,1,2,1,0,0,0,0,2,32,3,0,0,0,1,0,1,0,49,45,315,403,100,46,0,0,1,2,50,0,53,472,592,49,55,19,3,3,0,0,0,0,96,65,26,0,129,1,0,8,0,0,59,57,56,7,1,0,0,1,1,0,0,183,429,679,162,3,21,1,1,2,0,3,168,285,370,184,2,14,1,3,25,3,4,193,124,123,138,4,4,1,2,1,0,0,4,104,0,12,2,4,3,0,4,0,0,0,37,8,74,3,5,4,0,0,1,4,0,18,21,2,0,2,1,1,0,2,0,1,66,37,46,0,0,0,2,0,1,0,0,0,22,19,0,0,1,0,4,0,1,0,4,1,22,0,0,0,0,1,0,0,1,18,330,170,0,2,0,0,1,0,3,1,2,40,1,0,1,2,0,0,0,5,0,0,1,0,3,0,0,0
2,0,0,1,16,3,9,3,0,0,1,1,0,1,0,46,127,69,25,0,2,0,1,0,3,6,248,1,14,0,2,0,1,0,0,0,0,0,33,2,0,0,1,0,2,0,1,52,47,321,398,99,45,1,0,1,0,28,2,54,478,598,49,12,16,0,1,4,0,2,0,96,69,24,2,118,1,6,6,4,0,52,56,57,6,3,0,0,0,2,0,3,188,432,672,163,2,19,2,1,1,0,2,166,274,368,176,1,17,4,0,22,0,0,198,120,125,133,4,4,0,0,0,0,2,0,104,0,14,2,0,1,0,3,0,4,0,36,12,73,0,0,0,0,0,3,1,0,16,23,0,0,3,0,3,2,2,1,0,64,37,53,1,0,2,0,0,0,0,0,0,21,18,0,0,0,0,4,4,2,2,0,1,23,0,2,1,0,0,0,1,0,19,358,159,2,1,0,0,0,2,1,3,2,43,0,0,0,0,0,0,0,2,2,3,0,0,0,3,0,0
2,0,0,1,16,3,9,3,0,0,1,1,0,1,0,46,127,69,25,0,2,0,1,0,3,6,248,1,14,0,2,0,1,0,0,0,0,0,33,2,0,0,1,0,2,0,1,52,47,321,398,99,45,1,0,1,0,28,2,54,478,598,49,12,16,0,1,4,0,2,0,96,69,24,2,118,1,6,6,4,0,52,56,57,6,3,0,0,0,2,0,3,188,432,672,163,2,19,2,1,1,0,2,166,274,368,176,1,17,4,0,22,0,0,198,120,125,133,4,4,0,0,0,0,2,0,104,0,14,2,0,1,0,3,0,4,0,36,12,73,0,0,0,0,0,3,1,0,16,23,0,0,3,0,3,2,2,1,0,64,37,53,1,0,2,0,0,0,0,0,0,21,18,0,0,0,0,4,4,2,2,0,1,23,0,2,1,0,0,0,1,0,19,358,159,2,1,0,0,0,2,1,3,2,43,0,0,0,0,0,0,0,2,2,3,0,0,0,3,0,0
2,0,0,1,16,3,9,3,0,0,1,1,0,1,0,46,127,69,25,0,2,0,1,0,3,6,248,1,14,0,2,0,1,0,0,0,0,0,33,2,0,0,1,0,2,0,1,52,47,321,398,99,45,1,0,1,0,28,2,54,478,598,49,12,16,0,1,4,0,2,0,96,69,24,2,118,1,6,6,4,0,52,56,57,6,3,0,0,0,2,0,3,188,432,672,163,2,19,2,1,1,0,2,166,274,368,176,1,17,4,0,22,0,0,198,120,125,133,4,4,0,0,0,0,2,0,104,0,14,2,0,1,0,3,0,4,0,36,12,73,0,0,0,0,0,3,1,0,16,23,0,0,3,0,3,2,2,1,0,64,37,53,1,0,2,0,0,0,0,0,0,21,18,0,0,0,0,4,4,2,2,0,1,23,0,2,1,0,0,0,1,0,19,358,159,2,1,0,0,0,2,1,3,2,43,0,0,0,0,0,0,0,2,2,3,0,0,0,3,0,0
1,1,2,0,18,0,8,0,0,0,0,0,0,0,3,42,129,67,25,0,0,0,0,1,4,3,249,2,16,0,2,0,0,0,0,3,0,0,34,7,0,0,0,2,0,1,1,51,53,325,408,101,43,0,1,0,0,30,0,55,470,587,49,13,19,1,0,5,0,3,2,97,66,29,1,118,0,4,10,0,0,56,55,59,6,0,0,0,2,4,4,0,191,436,676,162,4,16,1,0,2,2,3,160,266,354,167,0,15,0,0,22,0,3,188,117,126,136,4,2,0,0,4,0,2,3,113,0,12,2,0,2,3,4,2,0,2,38,8,69,1,2,0,1,0,4,0,0,17,23,0,3,1,0,4,1,2,1,3,68,39,58,0,0,0,0,0,0,0,2,3,27,19,0,0,1,0,0,4,3,3,2,0,28,4,1,0,0,0,0,0,1,17,350,149,0,0,0,1,3,0,1,0,0,44,3,0,0,0,1,1,0,0,0,0,3,1,2,0,0,0
1,1,2,0,18,0,8,0,0,0,0,0,0,0,3,42,129,67,25,0,0,0,0,1,4,3,249,2,16,0,2,0,0,0,0,3,0,0,34,7,0,0,0,2,0,1,1,51,53,325,408,101,43,0,1,0,0,30,0,55,470,587,49,13,19,1,0,5,0,3,2,97,66,29,1,118,0,4,10,0,0,56,55,59,6,0,0,0,2,4,4,0,191,436,676,162,4,16,1,0,2,2,3,160,266,354,167,0,15,0,0,22,0,3,188,117,126,136,4,2,0,0,4,0,2,3,113,0,12,2,0,2,3,4,2,0,2,38,8,69,1,2,0,1,0,4,0,0,17,23,0,3,1,0,4,1,2,1,3,68,39,58,0,0,0,0,0,0,0,2,3,27,19,0,0,1,0,0,4,3,3,2,0,28,4,1,0,0,0,0,0,1,17,350,149,0,0,0,1,3,0,1,0,0,44,3,0,0,0,1,1,0,0,0,0,3,1,2,0,0,0
1,1,2,0,18,0,8,0,0,0,0,0,0,0,3,42,129,67,25,0,0,0,0,1,4,3,249,2,16,0,2,0,0,0,0,3,0,0,34,7,0,0,0,2,0,1,1,51,53,325,408,101,43,0,1,0,0,30,0,55,470,587,49,13,19,1,0,5,0,3,2,97,66,29,1,118,0,4,10,0,0,56,55,59,6,0,0,0,2,4,4,0,191,436,676,162,4,16,1,0,2,2,3,160,266,354,167,0,15,0,0,22,0,3,188,117,126,136,4,2,0,0,4,0,2,3,113,0,12,2,0,2,3,4,2,0,2,38,8,69,1,2,0,1,0,4,0,0,17,23,0,3,1,0,4,1,2,1,3,68,39,58,0,0,0,0,0,0,0,2,3,27,19,0,0,1,0,0,4,3,3,2,0,28,4,1,0,0,0,0,0,1,17,350,149,0,0,0,1,3,0,1,0,0,44,3,0,0,0,1,1,0,0,0,0,3,1,2,0,0,0
