pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
1,0,0,1,0,2,0,0,0,2,0,0,0,1,1,0,83,111,0,2,2,0,1,0,0,2,0,81,105,19,0,0,0,0,0,0,3,1,73,65,0,0,0,0,0,2,1,27,205,57,111,44,0,1,0,0,0,28,41,433,335,140,188,0,5,0,2,0,15,48,215,301,61,18,0,0,0,2,2,11,122,78,122,14,0,20,19,0,0,0,0,52,122,252,127,0,0,1,0,0,2,0,163,358,240,315,2,1,47,0,0,14,1,335,457,591,407,96,0,30,0,0,20,65,329,724,471,425,204,0,1,0,0,0,7,99,100,100,339,110,1,1,0,2,0,0,61,3,0,52,1,0,0,0,0,0,0,12,0,0,1,2,1,0,1,1,0,12,200,0,0,5,25,0,0,1,0,2,6,103,1,9,99,1,0,0,0,0,0,12,90,0,0,340,1,2,0,0,0,0,3,72,1,0,66,18,0,0,2,0,1,1,86,0,0,140,1,1,0,0,1
1,0,0,1,0,2,0,0,0,2,0,0,0,1,1,0,83,111,0,2,2,0,1,0,0,2,0,81,105,19,0,0,0,0,0,0,3,1,73,65,0,0,0,0,0,2,1,27,205,57,111,44,0,1,0,0,0,28,41,433,335,140,188,0,5,0,2,0,15,48,215,301,61,18,0,0,0,2,2,11,122,78,122,14,0,20,19,0,0,0,0,52,122,252,127,0,0,1,0,0,2,0,163,358,240,315,2,1,47,0,0,14,1,335,457,591,407,96,0,30,0,0,20,65,329,724,471,425,204,0,1,0,0,0,7,99,100,100,339,110,1,1,0,2,0,0,61,3,0,52,1,0,0,0,0,0,0,12,0,0,1,2,1,0,1,1,0,12,200,0,0,5,25,0,0,1,0,2,6,103,1,9,99,1,0,0,0,0,0,12,90,0,0,340,1,2,0,0,0,0,3,72,1,0,66,18,0,0,2,0,1,1,86,0,0,140,1,1,0,0,1
0,0,0,0,0,3,0,0,1,0,1,2,2,0,0,0,61,117,0,1,0,0,2,0,0,0,0,82,110,15,0,0,0,1,0,2,0,1,72,68,0,1,0,1,0,0,0,25,210,55,112,41,0,0,0,0,1,31,39,437,335,174,185,0,4,0,0,0,12,45,215,287,58,23,0,1,0,0,1,10,121,80,114,13,0,17,17,0,2,0,0,53,122,252,124,0,0,4,0,0,0,0,162,362,243,315,1,0,48,0,1,16,2,334,462,595,407,96,1,42,0,0,19,64,325,726,468,425,215,0,0,0,1,2,7,104,98,101,338,113,0,0,0,1,0,0,61,15,0,46,0,0,0,1,0,2,0,14,2,1,0,0,1,0,0,0,0,11,201,2,1,5,29,0,0,0,0,1,10,107,0,9,105,0,1,0,2,0,0,14,87,0,0,341,5,1,0,2,1,1,0,73,0,1,65,20,2,4,0,0,0,0,76,0,0,145,4,2,0,1,1
0,0,0,0,0,3,0,0,1,0,1,2,2,0,0,0,61,117,0,1,0,0,2,0,0,0,0,82,110,15,0,0,0,1,0,2,0,1,72,68,0,1,0,1,0,0,0,25,210,55,112,41,0,0,0,0,1,31,39,437,335,174,185,0,4,0,0,0,12,45,215,287,58,23,0,1,0,0,1,10,121,80,114,13,0,17,17,0,2,0,0,53,122,252,124,0,0,4,0,0,0,0,162,362,243,315,1,0,48,0,1,16,2,334,462,595,407,96,1,42,0,0,19,64,325,726,468,425,215,0,0,0,1,2,7,104,98,101,338,113,0,0,0,1,0,0,61,15,0,46,0,0,0,1,0,2,0,14,2,1,0,0,1,0,0,0,0,11,201,2,1,5,29,0,0,0,0,1,10,107,0,9,105,0,1,0,2,0,0,14,87,0,0,341,5,1,0,2,1,1,0,73,0,1,65,20,2,4,0,0,0,0,76,0,0,145,4,2,0,1,1
0,0,0,0,0,3,0,0,1,0,1,2,2,0,0,0,61,117,0,1,0,0,2,0,0,0,0,82,110,15,0,0,0,1,0,2,0,1,72,68,0,1,0,1,0,0,0,25,210,55,112,41,0,0,0,0,1,31,39,437,335,174,185,0,4,0,0,0,12,45,215,287,58,23,0,1,0,0,1,10,121,80,114,13,0,17,17,0,2,0,0,53,122,252,124,0,0,4,0,0,0,0,162,362,243,315,1,0,48,0,1,16,2,334,462,595,407,96,1,42,0,0,19,64,325,726,468,425,215,0,0,0,1,2,7,104,98,101,338,113,0,0,0,1,0,0,61,15,0,46,0,0,0,1,0,2,0,14,2,1,0,0,1,0,0,0,0,11,201,2,1,5,29,0,0,0,0,1,10,107,0,9,105,0,1,0,2,0,0,14,87,0,0,341,5,1,0,2,1,1,0,73,0,1,65,20,2,4,0,0,0,0,76,0,0,145,4,2,0,1,1
0,0,0,0,0,3,0,0,1,0,1,2,2,0,0,0,61,117,0,1,0,0,2,0,0,0,0,82,110,15,0,0,0,1,0,2,0,1,72,68,0,1,0,1,0,0,0,25,210,55,112,41,0,0,0,0,1,31,39,437,335,174,185,0,4,0,0,0,12,45,215,287,58,23,0,1,0,0,1,10,121,80,114,13,0,17,17,0,2,0,0,53,122,252,124,0,0,4,0,0,0,0,162,362,243,315,1,0,48,0,1,16,2,334,462,595,407,96,1,42,0,0,19,64,325,726,468,425,215,0,0,0,1,2,7,104,98,101,338,113,0,0,0,1,0,0,61,15,0,46,0,0,0,1,0,2,0,14,2,1,0,0,1,0,0,0,0,11,201,2,1,5,29,0,0,0,0,1,10,107,0,9,105,0,1,0,2,0,0,14,87,0,0,341,5,1,0,2,1,1,0,73,0,1,65,20,2,4,0,0,0,0,76,0,0,145,4,2,0,1,1
0,0,0,0,0,3,0,0,1,0,1,2,2,0,0,0,61,117,0,1,0,0,2,0,0,0,0,82,110,15,0,0,0,1,0,2,0,1,72,68,0,1,0,1,0,0,0,25,210,55,112,41,0,0,0,0,1,31,39,437,335,174,185,0,4,0,0,0,12,45,215,287,58,23,0,1,0,0,1,10,121,80,114,13,0,17,17,0,2,0,0,53,122,252,124,0,0,4,0,0,0,0,162,362,243,315,1,0,48,0,1,16,2,334,462,595,407,96,1,42,0,0,19,64,325,726,468,425,215,0,0,0,1,2,7,104,98,101,338,113,0,0,0,1,0,0,61,15,0,46,0,0,0,1,0,2,0,14,2,1,0,0,1,0,0,0,0,11,201,2,1,5,29,0,0,0,0,1,10,107,0,9,105,0,1,0,2,0,0,14,87,0,0,341,5,1,0,2,1,1,0,73,0,1,65,20,2,4,0,0,0,0,76,0,0,145,4,2,0,1,1
0,0,0,0,0,3,0,0,1,0,1,2,2,0,0,0,61,117,0,1,0,0,2,0,0,0,0,82,110,15,0,0,0,1,0,2,0,1,72,68,0,1,0,1,0,0,0,25,210,55,112,41,0,0,0,0,1,31,39,437,335,174,185,0,4,0,0,0,12,45,215,287,58,23,0,1,0,0,1,10,121,80,114,13,0,17,17,0,2,0,0,53,122,252,124,0,0,4,0,0,0,0,162,362,243,315,1,0,48,0,1,16,2,334,462,595,407,96,1,42,0,0,19,64,325,726,468,425,215,0,0,0,1,2,7,104,98,101,338,113,0,0,0,1,0,0,61,15,0,46,0,0,0,1,0,2,0,14,2,1,0,0,1,0,0,0,0,11,201,2,1,5,29,0,0,0,0,1,10,107,0,9,105,0,1,0,2,0,0,14,87,0,0,341,5,1,0,2,1,1,0,73,0,1,65,20,2,4,0,0,0,0,76,0,0,145,4,2,0,1,1
2,1,0,0,3,2,1,0,0,0,0,1,0,0,0,0,57,107,0,1,0,1,0,0,0,0,0,81,110,20,1,1,2,0,1,0,0,1,74,68,2,0,2,1,2,0,0,28,204,53,108,41,1,1,2,0,0,32,44,435,335,179,183,3,3,0,0,0,12,45,222,285,60,19,0,2,0,3,0,15,122,79,113,11,1,23,17,0,0,0,0,55,124,252,124,0,0,0,0,0,0,0,155,364,248,315,2,0,51,0,0,16,1,329,457,592,400,99,0,44,0,0,18,67,318,724,471,424,211,0,0,0,2,1,6,109,102,104,341,109,0,0,2,0,0,0,59,12,0,50,2,0,1,0,1,0,1,14,3,0,0,0,2,0,0,0,2,9,194,0,0,3,26,3,0,0,0,0,7,104,0,6,102,0,0,0,0,0,0,11,88,1,1,342,3,0,0,0,0,2,1,69,0,0,69,20,0,2,0,0,0,0,87,0,0,141,3,0,1,0,1
2,1,0,0,3,2,1,0,0,0,0,1,0,0,0,0,57,107,0,1,0,1,0,0,0,0,0,81,110,20,1,1,2,0,1,0,0,1,74,68,2,0,2,1,2,0,0,28,204,53,108,41,1,1,2,0,0,32,44,435,335,179,183,3,3,0,0,0,12,45,222,285,60,19,0,2,0,3,0,15,122,79,113,11,1,23,17,0,0,0,0,55,124,252,124,0,0,0,0,0,0,0,155,364,248,315,2,0,51,0,0,16,1,329,457,592,400,99,0,44,0,0,18,67,318,724,471,424,211,0,0,0,2,1,6,109,102,104,341,109,0,0,2,0,0,0,59,12,0,50,2,0,1,0,1,0,1,14,3,0,0,0,2,0,0,0,2,9,194,0,0,3,26,3,0,0,0,0,7,104,0,6,102,0,0,0,0,0,0,11,88,1,1,342,3,0,0,0,0,2,1,69,0,0,69,20,0,2,0,0,0,0,87,0,0,141,3,0,1,0,1
