pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
6,0,0,3,28,59,0,0,0,0,0,5,0,0,9,47,94,52,0,2,0,0,0,0,16,128,555,538,215,88,1,0,11,0,13,108,68,0,540,179,116,19,2,0,0,1,19,2,166,73,47,32,9,0,0,0,2,18,0,0,32,0,45,4,4,0,0,0,0,64,23,65,1,2,0,0,0,0,0,0,184,117,198,69,0,2,21,0,0,0,0,199,441,1023,210,2,0,1,0,0,0,0,317,336,349,353,5,0,11,0,2,0,0,128,2,58,93,1,2,0,0,0,31,0,30,15,26,93,2,0,0,1,0,0,0,10,0,59,116,1,0,0,0,0,0,2,11,0,3,0,2,0,0,0,0,3,76,55,0,0,0,3,0,1,0,0,3,191,216,0,145,4,0,0,0,0,2,0,297,2,0,60,1,3,2,0,0,0,0,222,0,0,25,195,0,0,0,0,0,0,12,2,0,47,0,0,0,0,0,0,1,338,21,114,53,0,0,0,3,0,1
6,0,0,3,28,59,0,0,0,0,0,5,0,0,9,47,94,52,0,2,0,0,0,0,16,128,555,538,215,88,1,0,11,0,13,108,68,0,540,179,116,19,2,0,0,1,19,2,166,73,47,32,9,0,0,0,2,18,0,0,32,0,45,4,4,0,0,0,0,64,23,65,1,2,0,0,0,0,0,0,184,117,198,69,0,2,21,0,0,0,0,199,441,1023,210,2,0,1,0,0,0,0,317,336,349,353,5,0,11,0,2,0,0,128,2,58,93,1,2,0,0,0,31,0,30,15,26,93,2,0,0,1,0,0,0,10,0,59,116,1,0,0,0,0,0,2,11,0,3,0,2,0,0,0,0,3,76,55,0,0,0,3,0,1,0,0,3,191,216,0,145,4,0,0,0,0,2,0,297,2,0,60,1,3,2,0,0,0,0,222,0,0,25,195,0,0,0,0,0,0,12,2,0,47,0,0,0,0,0,0,1,338,21,114,53,0,0,0,3,0,1
6,0,0,3,28,59,0,0,0,0,0,5,0,0,9,47,94,52,0,2,0,0,0,0,16,128,555,538,215,88,1,0,11,0,13,108,68,0,540,179,116,19,2,0,0,1,19,2,166,73,47,32,9,0,0,0,2,18,0,0,32,0,45,4,4,0,0,0,0,64,23,65,1,2,0,0,0,0,0,0,184,117,198,69,0,2,21,0,0,0,0,199,441,1023,210,2,0,1,0,0,0,0,317,336,349,353,5,0,11,0,2,0,0,128,2,58,93,1,2,0,0,0,31,0,30,15,26,93,2,0,0,1,0,0,0,10,0,59,116,1,0,0,0,0,0,2,11,0,3,0,2,0,0,0,0,3,76,55,0,0,0,3,0,1,0,0,3,191,216,0,145,4,0,0,0,0,2,0,297,2,0,60,1,3,2,0,0,0,0,222,0,0,25,195,0,0,0,0,0,0,12,2,0,47,0,0,0,0,0,0,1,338,21,114,53,0,0,0,3,0,1
6,0,0,3,28,59,0,0,0,0,0,5,0,0,9,47,94,52,0,2,0,0,0,0,16,128,555,538,215,88,1,0,11,0,13,108,68,0,540,179,116,19,2,0,0,1,19,2,166,73,47,32,9,0,0,0,2,18,0,0,32,0,45,4,4,0,0,0,0,64,23,65,1,2,0,0,0,0,0,0,184,117,198,69,0,2,21,0,0,0,0,199,441,1023,210,2,0,1,0,0,0,0,317,336,349,353,5,0,11,0,2,0,0,128,2,58,93,1,2,0,0,0,31,0,30,15,26,93,2,0,0,1,0,0,0,10,0,59,116,1,0,0,0,0,0,2,11,0,3,0,2,0,0,0,0,3,76,55,0,0,0,3,0,1,0,0,3,191,216,0,145,4,0,0,0,0,2,0,297,2,0,60,1,3,2,0,0,0,0,222,0,0,25,195,0,0,0,0,0,0,12,2,0,47,0,0,0,0,0,0,1,338,21,114,53,0,0,0,3,0,1
6,0,0,3,28,59,0,0,0,0,0,5,0,0,9,47,94,52,0,2,0,0,0,0,16,128,555,538,215,88,1,0,11,0,13,108,68,0,540,179,116,19,2,0,0,1,19,2,166,73,47,32,9,0,0,0,2,18,0,0,32,0,45,4,4,0,0,0,0,64,23,65,1,2,0,0,0,0,0,0,184,117,198,69,0,2,21,0,0,0,0,199,441,1023,210,2,0,1,0,0,0,0,317,336,349,353,5,0,11,0,2,0,0,128,2,58,93,1,2,0,0,0,31,0,30,15,26,93,2,0,0,1,0,0,0,10,0,59,116,1,0,0,0,0,0,2,11,0,3,0,2,0,0,0,0,3,76,55,0,0,0,3,0,1,0,0,3,191,216,0,145,4,0,0,0,0,2,0,297,2,0,60,1,3,2,0,0,0,0,222,0,0,25,195,0,0,0,0,0,0,12,2,0,47,0,0,0,0,0,0,1,338,21,114,53,0,0,0,3,0,1
6,0,0,3,28,59,0,0,0,0,0,5,0,0,9,47,94,52,0,2,0,0,0,0,16,128,555,538,215,88,1,0,11,0,13,108,68,0,540,179,116,19,2,0,0,1,19,2,166,73,47,32,9,0,0,0,2,18,0,0,32,0,45,4,4,0,0,0,0,64,23,65,1,2,0,0,0,0,0,0,184,117,198,69,0,2,21,0,0,0,0,199,441,1023,210,2,0,1,0,0,0,0,317,336,349,353,5,0,11,0,2,0,0,128,2,58,93,1,2,0,0,0,31,0,30,15,26,93,2,0,0,1,0,0,0,10,0,59,116,1,0,0,0,0,0,2,11,0,3,0,2,0,0,0,0,3,76,55,0,0,0,3,0,1,0,0,3,191,216,0,145,4,0,0,0,0,2,0,297,2,0,60,1,3,2,0,0,0,0,222,0,0,25,195,0,0,0,0,0,0,12,2,0,47,0,0,0,0,0,0,1,338,21,114,53,0,0,0,3,0,1
0,0,0,3,23,48,0,0,0,0,3,0,0,1,6,48,85,53,0,3,0,0,0,0,15,126,560,515,219,86,0,1,7,4,16,98,67,0,520,175,110,12,1,1,1,1,19,1,168,57,47,0,13,0,0,0,2,16,0,0,33,0,45,1,0,0,4,0,1,69,22,62,0,0,0,0,0,4,0,4,192,122,202,71,0,0,21,0,0,0,0,201,446,1023,209,0,0,0,0,3,0,0,312,329,354,357,0,0,11,0,0,5,0,130,1,59,94,0,0,0,0,0,34,0,35,17,20,94,0,0,0,0,4,0,0,9,1,61,115,0,0,0,1,1,0,3,10,0,3,2,0,0,0,0,0,0,68,52,0,0,0,0,2,0,1,0,0,189,207,0,146,0,0,0,1,0,0,0,297,4,0,58,0,0,0,0,0,0,0,218,0,0,24,196,0,0,0,0,0,0,10,0,3,46,0,3,0,3,0,1,1,332,17,100,53,0,0,0,0,0,1
0,0,0,3,23,48,0,0,0,0,3,0,0,1,6,48,85,53,0,3,0,0,0,0,15,126,560,515,219,86,0,1,7,4,16,98,67,0,520,175,110,12,1,1,1,1,19,1,168,57,47,0,13,0,0,0,2,16,0,0,33,0,45,1,0,0,4,0,1,69,22,62,0,0,0,0,0,4,0,4,192,122,202,71,0,0,21,0,0,0,0,201,446,1023,209,0,0,0,0,3,0,0,312,329,354,357,0,0,11,0,0,5,0,130,1,59,94,0,0,0,0,0,34,0,35,17,20,94,0,0,0,0,4,0,0,9,1,61,115,0,0,0,1,1,0,3,10,0,3,2,0,0,0,0,0,0,68,52,0,0,0,0,2,0,1,0,0,189,207,0,146,0,0,0,1,0,0,0,297,4,0,58,0,0,0,0,0,0,0,218,0,0,24,196,0,0,0,0,0,0,10,0,3,46,0,3,0,3,0,1,1,332,17,100,53,0,0,0,0,0,1
0,0,0,3,23,48,0,0,0,0,3,0,0,1,6,48,85,53,0,3,0,0,0,0,15,126,560,515,219,86,0,1,7,4,16,98,67,0,520,175,110,12,1,1,1,1,19,1,168,57,47,0,13,0,0,0,2,16,0,0,33,0,45,1,0,0,4,0,1,69,22,62,0,0,0,0,0,4,0,4,192,122,202,71,0,0,21,0,0,0,0,201,446,1023,209,0,0,0,0,3,0,0,312,329,354,357,0,0,11,0,0,5,0,130,1,59,94,0,0,0,0,0,34,0,35,17,20,94,0,0,0,0,4,0,0,9,1,61,115,0,0,0,1,1,0,3,10,0,3,2,0,0,0,0,0,0,68,52,0,0,0,0,2,0,1,0,0,189,207,0,146,0,0,0,1,0,0,0,297,4,0,58,0,0,0,0,0,0,0,218,0,0,24,196,0,0,0,0,0,0,10,0,3,46,0,3,0,3,0,1,1,332,17,100,53,0,0,0,0,0,1
0,0,0,3,23,48,0,0,0,0,3,0,0,1,6,48,85,53,0,3,0,0,0,0,15,126,560,515,219,86,0,1,7,4,16,98,67,0,520,175,110,12,1,1,1,1,19,1,168,57,47,0,13,0,0,0,2,16,0,0,33,0,45,1,0,0,4,0,1,69,22,62,0,0,0,0,0,4,0,4,192,122,202,71,0,0,21,0,0,0,0,201,446,1023,209,0,0,0,0,3,0,0,312,329,354,357,0,0,11,0,0,5,0,130,1,59,94,0,0,0,0,0,34,0,35,17,20,94,0,0,0,0,4,0,0,9,1,61,115,0,0,0,1,1,0,3,10,0,3,2,0,0,0,0,0,0,68,52,0,0,0,0,2,0,1,0,0,189,207,0,146,0,0,0,1,0,0,0,297,4,0,58,0,0,0,0,0,0,0,218,0,0,24,196,0,0,0,0,0,0,10,0,3,46,0,3,0,3,0,1,1,332,17,100,53,0,0,0,0,0,1
