pixel0,pixel1,pixel2,pixel3,pixel4,pixel5,pixel6,pixel7,pixel8,pixel9,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23,pixel24,pixel25,pixel26,pixel27,pixel28,pixel29,pixel30,pixel31,pixel32,pixel33,pixel34,pixel35,pixel36,pixel37,pixel38,pixel39,pixel40,pixel41,pixel42,pixel43,pixel44,pixel45,pixel46,pixel47,pixel48,pixel49,pixel50,pixel51,pixel52,pixel53,pixel54,pixel55,pixel56,pixel57,pixel58,pixel59,pixel60,pixel61,pixel62,pixel63,pixel64,pixel65,pixel66,pixel67,pixel68,pixel69,pixel70,pixel71,pixel72,pixel73,pixel74,pixel75,pixel76,pixel77,pixel78,pixel79,pixel80,pixel81,pixel82,pixel83,pixel84,pixel85,pixel86,pixel87,pixel88,pixel89,pixel90,pixel91,pixel92,pixel93,pixel94,pixel95,pixel96,pixel97,pixel98,pixel99,pixel100,pixel101,pixel102,pixel103,pixel104,pixel105,pixel106,pixel107,pixel108,pixel109,pixel110,pixel111,pixel112,pixel113,pixel114,pixel115,pixel116,pixel117,pixel118,pixel119,pixel120,pixel121,pixel122,pixel123,pixel124,pixel125,pixel126,pixel127,pixel128,pixel129,pixel130,pixel131,pixel132,pixel133,pixel134,pixel135,pixel136,pixel137,pixel138,pixel139,pixel140,pixel141,pixel142,pixel143,pixel144,pixel145,pixel146,pixel147,pixel148,pixel149,pixel150,pixel151,pixel152,pixel153,pixel154,pixel155,pixel156,pixel157,pixel158,pixel159,pixel160,pixel161,pixel162,pixel163,pixel164,pixel165,pixel166,pixel167,pixel168,pixel169,pixel170,pixel171,pixel172,pixel173,pixel174,pixel175,pixel176,pixel177,pixel178,pixel179,pixel180,pixel181,pixel182,pixel183,pixel184,pixel185,pixel186,pixel187,pixel188,pixel189,pixel190,pixel191,pixel192,pixel193,pixel194,pixel195,pixel196,pixel197,pixel198,pixel199,pixel200,pixel201,pixel202,pixel203,pixel204,pixel205,pixel206,pixel207,pixel208,pixel209,pixel210,pixel211,pixel212,pixel213,pixel214,pixel215,pixel216,pixel217,pixel218,pixel219,label
1,0,0,0,192,231,83,0,0,0,0,0,30,0,0,35,140,38,0,0,0,0,0,0,1,70,111,287,69,85,4,0,12,0,0,48,94,0,253,237,204,83,0,1,0,0,21,18,254,299,215,87,0,0,1,0,84,27,10,152,370,387,81,0,17,0,1,98,0,0,62,189,82,0,0,70,0,0,6,2,41,49,73,107,0,13,235,0,0,0,0,0,88,360,181,86,0,17,8,34,1,0,29,340,621,623,90,1,8,0,0,18,1,67,284,399,324,261,7,23,6,0,28,0,116,443,119,195,237,0,2,1,0,0,0,75,96,69,144,157,0,0,0,1,0,2,61,0,1,0,62,2,0,1,1,0,1,0,0,0,0,12,0,0,0,0,0,146,235,0,1,0,47,0,0,0,0,0,304,46,1,0,0,121,133,0,0,0,0,311,24,0,1,1,48,165,0,0,0,3,59,2,1,0,0,46,74,0,0,0,28,115,0,0,0,1,2,20,1,1,1
1,0,0,0,192,231,83,0,0,0,0,0,30,0,0,35,140,38,0,0,0,0,0,0,1,70,111,287,69,85,4,0,12,0,0,48,94,0,253,237,204,83,0,1,0,0,21,18,254,299,215,87,0,0,1,0,84,27,10,152,370,387,81,0,17,0,1,98,0,0,62,189,82,0,0,70,0,0,6,2,41,49,73,107,0,13,235,0,0,0,0,0,88,360,181,86,0,17,8,34,1,0,29,340,621,623,90,1,8,0,0,18,1,67,284,399,324,261,7,23,6,0,28,0,116,443,119,195,237,0,2,1,0,0,0,75,96,69,144,157,0,0,0,1,0,2,61,0,1,0,62,2,0,1,1,0,1,0,0,0,0,12,0,0,0,0,0,146,235,0,1,0,47,0,0,0,0,0,304,46,1,0,0,121,133,0,0,0,0,311,24,0,1,1,48,165,0,0,0,3,59,2,1,0,0,46,74,0,0,0,28,115,0,0,0,1,2,20,1,1,1
1,0,0,0,192,231,83,0,0,0,0,0,30,0,0,35,140,38,0,0,0,0,0,0,1,70,111,287,69,85,4,0,12,0,0,48,94,0,253,237,204,83,0,1,0,0,21,18,254,299,215,87,0,0,1,0,84,27,10,152,370,387,81,0,17,0,1,98,0,0,62,189,82,0,0,70,0,0,6,2,41,49,73,107,0,13,235,0,0,0,0,0,88,360,181,86,0,17,8,34,1,0,29,340,621,623,90,1,8,0,0,18,1,67,284,399,324,261,7,23,6,0,28,0,116,443,119,195,237,0,2,1,0,0,0,75,96,69,144,157,0,0,0,1,0,2,61,0,1,0,62,2,0,1,1,0,1,0,0,0,0,12,0,0,0,0,0,146,235,0,1,0,47,0,0,0,0,0,304,46,1,0,0,121,133,0,0,0,0,311,24,0,1,1,48,165,0,0,0,3,59,2,1,0,0,46,74,0,0,0,28,115,0,0,0,1,2,20,1,1,1
1,0,0,0,192,231,83,0,0,0,0,0,30,0,0,35,140,38,0,0,0,0,0,0,1,70,111,287,69,85,4,0,12,0,0,48,94,0,253,237,204,83,0,1,0,0,21,18,254,299,215,87,0,0,1,0,84,27,10,152,370,387,81,0,17,0,1,98,0,0,62,189,82,0,0,70,0,0,6,2,41,49,73,107,0,13,235,0,0,0,0,0,88,360,181,86,0,17,8,34,1,0,29,340,621,623,90,1,8,0,0,18,1,67,284,399,324,261,7,23,6,0,28,0,116,443,119,195,237,0,2,1,0,0,0,75,96,69,144,157,0,0,0,1,0,2,61,0,1,0,62,2,0,1,1,0,1,0,0,0,0,12,0,0,0,0,0,146,235,0,1,0,47,0,0,0,0,0,304,46,1,0,0,121,133,0,0,0,0,311,24,0,1,1,48,165,0,0,0,3,59,2,1,0,0,46,74,0,0,0,28,115,0,0,0,1,2,20,1,1,1
1,0,0,1,192,234,80,2,0,0,0,1,29,0,1,34,144,36,0,0,0,0,1,0,1,70,115,305,66,82,2,1,12,1,0,46,93,2,274,240,201,83,0,0,0,0,21,20,258,298,213,54,0,2,0,0,83,31,6,155,372,386,81,0,16,0,0,101,0,0,60,190,82,1,2,74,0,0,7,0,43,47,74,101,0,9,234,0,0,0,0,2,86,356,187,83,0,16,10,36,0,0,24,340,618,621,103,0,6,0,0,17,0,64,284,401,328,265,9,24,0,0,27,0,118,444,118,198,235,0,0,1,0,0,1,77,82,67,140,168,0,0,1,0,0,1,56,0,0,0,75,2,0,0,1,0,0,0,1,0,0,8,1,0,0,1,0,141,195,0,0,0,47,1,0,0,0,1,302,50,0,1,1,118,132,0,0,0,0,310,24,1,2,0,47,190,1,0,0,1,65,1,1,1,0,48,74,2,2,0,29,115,0,1,0,0,0,16,0,0,1
1,0,0,1,192,234,80,2,0,0,0,1,29,0,1,34,144,36,0,0,0,0,1,0,1,70,115,305,66,82,2,1,12,1,0,46,93,2,274,240,201,83,0,0,0,0,21,20,258,298,213,54,0,2,0,0,83,31,6,155,372,386,81,0,16,0,0,101,0,0,60,190,82,1,2,74,0,0,7,0,43,47,74,101,0,9,234,0,0,0,0,2,86,356,187,83,0,16,10,36,0,0,24,340,618,621,103,0,6,0,0,17,0,64,284,401,328,265,9,24,0,0,27,0,118,444,118,198,235,0,0,1,0,0,1,77,82,67,140,168,0,0,1,0,0,1,56,0,0,0,75,2,0,0,1,0,0,0,1,0,0,8,1,0,0,1,0,141,195,0,0,0,47,1,0,0,0,1,302,50,0,1,1,118,132,0,0,0,0,310,24,1,2,0,47,190,1,0,0,1,65,1,1,1,0,48,74,2,2,0,29,115,0,1,0,0,0,16,0,0,1
1,0,0,1,192,234,80,2,0,0,0,1,29,0,1,34,144,36,0,0,0,0,1,0,1,70,115,305,66,82,2,1,12,1,0,46,93,2,274,240,201,83,0,0,0,0,21,20,258,298,213,54,0,2,0,0,83,31,6,155,372,386,81,0,16,0,0,101,0,0,60,190,82,1,2,74,0,0,7,0,43,47,74,101,0,9,234,0,0,0,0,2,86,356,187,83,0,16,10,36,0,0,24,340,618,621,103,0,6,0,0,17,0,64,284,401,328,265,9,24,0,0,27,0,118,444,118,198,235,0,0,1,0,0,1,77,82,67,140,168,0,0,1,0,0,1,56,0,0,0,75,2,0,0,1,0,0,0,1,0,0,8,1,0,0,1,0,141,195,0,0,0,47,1,0,0,0,1,302,50,0,1,1,118,132,0,0,0,0,310,24,1,2,0,47,190,1,0,0,1,65,1,1,1,0,48,74,2,2,0,29,115,0,1,0,0,0,16,0,0,1
1,0,0,1,192,234,80,2,0,0,0,1,29,0,1,34,144,36,0,0,0,0,1,0,1,70,115,305,66,82,2,1,12,1,0,46,93,2,274,240,201,83,0,0,0,0,21,20,258,298,213,54,0,2,0,0,83,31,6,155,372,386,81,0,16,0,0,101,0,0,60,190,82,1,2,74,0,0,7,0,43,47,74,101,0,9,234,0,0,0,0,2,86,356,187,83,0,16,10,36,0,0,24,340,618,621,103,0,6,0,0,17,0,64,284,401,328,265,9,24,0,0,27,0,118,444,118,198,235,0,0,1,0,0,1,77,82,67,140,168,0,0,1,0,0,1,56,0,0,0,75,2,0,0,1,0,0,0,1,0,0,8,1,0,0,1,0,141,195,0,0,0,47,1,0,0,0,1,302,50,0,1,1,118,132,0,0,0,0,310,24,1,2,0,47,190,1,0,0,1,65,1,1,1,0,48,74,2,2,0,29,115,0,1,0,0,0,16,0,0,1
1,0,0,1,192,234,80,2,0,0,0,1,29,0,1,34,144,36,0,0,0,0,1,0,1,70,115,305,66,82,2,1,12,1,0,46,93,2,274,240,201,83,0,0,0,0,21,20,258,298,213,54,0,2,0,0,83,31,6,155,372,386,81,0,16,0,0,101,0,0,60,190,82,1,2,74,0,0,7,0,43,47,74,101,0,9,234,0,0,0,0,2,86,356,187,83,0,16,10,36,0,0,24,340,618,621,103,0,6,0,0,17,0,64,284,401,328,265,9,24,0,0,27,0,118,444,118,198,235,0,0,1,0,0,1,77,82,67,140,168,0,0,1,0,0,1,56,0,0,0,75,2,0,0,1,0,0,0,1,0,0,8,1,0,0,1,0,141,195,0,0,0,47,1,0,0,0,1,302,50,0,1,1,118,132,0,0,0,0,310,24,1,2,0,47,190,1,0,0,1,65,1,1,1,0,48,74,2,2,0,29,115,0,1,0,0,0,16,0,0,1
1,0,0,1,192,234,80,2,0,0,0,1,29,0,1,34,144,36,0,0,0,0,1,0,1,70,115,305,66,82,2,1,12,1,0,46,93,2,274,240,201,83,0,0,0,0,21,20,258,298,213,54,0,2,0,0,83,31,6,155,372,386,81,0,16,0,0,101,0,0,60,190,82,1,2,74,0,0,7,0,43,47,74,101,0,9,234,0,0,0,0,2,86,356,187,83,0,16,10,36,0,0,24,340,618,621,103,0,6,0,0,17,0,64,284,401,328,265,9,24,0,0,27,0,118,444,118,198,235,0,0,1,0,0,1,77,82,67,140,168,0,0,1,0,0,1,56,0,0,0,75,2,0,0,1,0,0,0,1,0,0,8,1,0,0,1,0,141,195,0,0,0,47,1,0,0,0,1,302,50,0,1,1,118,132,0,0,0,0,310,24,1,2,0,47,190,1,0,0,1,65,1,1,1,0,48,74,2,2,0,29,115,0,1,0,0,0,16,0,0,1
